date,daily_kwh,interpolated_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2019-04-04,159.9100,159.9100,22.0,13.0,17.0,63.875,13.0,4.0,6.625,1020.0,231.0,9.0,51.875,16.0,15.875,11.0,15.875,4,4,3,2,0,0
2019-04-05,155.9500,155.9500,28.0,15.0,20.0,46.25,13.0,6.0,7.375,1016.625,212.625,10.0,13.0,19.25,19.125,15.125,19.125,4,5,4,2,0,1
2019-04-06,156.8800,156.8800,31.0,15.0,23.0,34.875,13.0,6.0,5.625,1011.0,237.0,10.0,13.75,20.875,21.0,9.875,20.5,4,6,5,2,1,0
2019-04-07,1374.6000,1374.6000,32.0,18.0,24.0,37.375,13.0,6.0,7.25,1006.25,165.25,10.0,0.75,23.125,22.75,11.25,22.875,4,7,6,2,1,0
2019-04-08,1840.7500,1840.7500,31.0,19.0,24.0,39.75,13.0,6.0,13.375,998.5,77.25,10.0,8.875,24.25,24.0,23.375,24.25,4,8,0,2,0,0
2019-04-09,1397.6100,1397.6100,30.0,20.0,24.0,42.5,13.0,5.0,8.125,1005.875,165.75,9.875,22.375,23.5,23.5,17.875,23.5,4,9,1,2,0,0
2019-04-10,1801.3700,1801.3700,20.0,16.0,18.0,76.875,6.0,5.0,12.5,1011.0,143.125,8.25,71.875,18.25,18.25,24.5,18.25,4,10,2,2,0,0
2019-04-11,177.7500,177.7500,21.0,15.0,18.0,79.625,6.0,4.0,7.0,1013.25,221.125,10.0,72.75,17.875,17.875,12.0,17.875,4,11,3,2,0,0
2019-04-12,173.1499,173.1499,19.0,16.0,17.0,85.375,7.0,5.0,9.75,1010.5,182.125,7.25,70.375,17.625,17.625,15.625,17.625,4,12,4,2,0,0
2019-04-13,176.3900,176.3900,22.0,15.0,18.0,73.375,13.0,5.0,8.875,1013.375,154.375,10.0,48.5,19.25,18.625,16.875,19.0,4,13,5,2,1,0
2019-04-14,173.3000,173.3000,23.0,17.0,19.0,55.5,13.0,4.0,7.875,1019.875,206.625,9.25,44.25,19.125,18.625,16.25,18.75,4,14,6,2,1,0
