date,daily_kwh,interpolated_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2021-05-01,0.0000,0.0000,28.0,19.0,23.0,57.25,13.0,5.0,11.375,1010.75,181.25,10.0,23.125,23.625,23.0,20.125,23.25,5,1,5,2,1,1
2021-05-02,0.0000,0.0000,24.0,16.0,20.0,63.75,13.0,5.0,13.25,1016.375,119.75,10.0,11.125,20.375,19.625,27.125,20.0,5,2,6,2,1,0
2021-05-03,0.0000,0.0000,28.0,14.0,21.0,65.625,13.0,6.0,10.5,1013.875,149.125,10.0,20.75,21.5,21.125,25.375,21.5,5,3,0,2,0,1
2021-05-04,0.0000,0.0000,23.0,19.0,21.0,89.5,1.0,5.0,10.25,1009.5,224.875,6.75,87.25,21.5,21.0,25.875,21.25,5,4,1,2,0,1
2021-05-05,0.0000,0.0000,27.0,17.0,21.0,61.125,12.0,5.0,8.0,1017.375,134.125,9.875,36.75,21.625,21.0,16.625,21.625,5,5,2,2,0,1
2021-05-06,0.0000,0.0000,25.0,16.0,20.0,57.0,10.0,6.0,8.375,1015.375,187.75,10.0,66.5,21.0,20.875,16.0,21.0,5,6,3,2,0,0
2021-05-07,0.0000,0.0000,29.0,15.0,23.0,73.125,13.0,5.0,6.75,1012.75,223.25,9.0,34.125,24.375,23.375,15.25,24.375,5,7,4,2,0,0
2021-05-08,0.0000,0.0000,31.0,20.0,26.0,61.875,13.0,7.0,6.875,1008.625,214.25,10.0,24.5,26.75,25.625,16.125,26.125,5,8,5,2,1,0
2021-05-09,0.0000,0.0000,33.0,22.0,27.0,60.5,13.0,7.0,7.5,1006.875,156.625,10.0,2.25,28.5,27.125,15.0,28.5,5,9,6,2,1,0
2021-05-10,0.0000,0.0000,35.0,21.0,28.0,58.0,12.0,7.0,7.5,1004.375,178.125,9.875,24.625,30.5,27.875,15.5,29.875,5,10,0,2,0,0
2021-05-11,0.0000,0.0000,24.0,22.0,23.0,89.625,6.0,5.0,5.875,1005.5,173.0,9.0,79.375,25.125,23.0,15.375,25.125,5,11,1,2,0,0
2021-05-12,0.0000,0.0000,28.0,22.0,24.0,85.5,2.0,5.0,7.0,1006.0,207.5,7.125,89.5,26.375,24.0,15.625,25.75,5,12,2,2,0,0
2021-05-13,0.0000,0.0000,26.0,21.0,23.0,89.125,8.0,5.0,6.125,1007.125,72.75,8.75,71.25,25.125,23.25,16.375,24.75,5,13,3,2,0,0
