date,daily_kwh,interpolated_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2021-09-01,0.0000,0.0000,33.0,25.0,28.0,80.625,9.0,6.0,9.125,1009.5,125.625,9.875,56.125,32.5,28.25,17.0,32.5,9,1,2,4,0,0
2021-09-02,0.0000,0.0000,29.0,23.0,26.0,83.5,5.0,7.0,6.5,1008.75,60.375,9.875,59.625,28.75,25.625,13.625,28.75,9,2,3,4,0,0
2021-09-03,0.0000,0.0000,31.0,24.0,27.0,82.125,7.0,6.0,8.25,1006.75,64.0,9.875,66.375,31.5,27.5,15.375,31.5,9,3,4,4,0,0
2021-09-04,0.0000,0.0000,34.0,26.0,29.0,83.375,7.0,6.0,10.125,1005.25,156.375,9.5,75.75,35.75,29.375,20.125,35.75,9,4,5,4,1,0
2021-09-05,0.0000,0.0000,29.0,22.0,25.0,85.125,8.0,6.0,13.875,1009.625,19.75,9.875,67.875,28.875,25.625,22.875,28.625,9,5,6,4,1,0
2021-09-06,0.0000,0.0000,27.0,21.0,24.0,79.625,3.0,6.0,14.625,1013.875,136.625,10.0,63.875,26.125,24.0,23.375,25.75,9,6,0,4,0,0
2021-09-07,0.0000,0.0000,29.0,21.0,25.0,70.75,12.0,6.0,11.0,1014.375,225.875,10.0,34.75,26.25,24.375,20.0,25.875,9,7,1,4,0,0
2021-09-08,0.0000,0.0000,27.0,22.0,24.0,75.5,12.0,6.0,3.625,1011.625,135.0,10.0,42.25,26.5,24.25,7.875,26.25,9,8,2,4,0,0
2021-09-09,0.0000,0.0000,29.0,23.0,26.0,76.625,12.0,7.0,2.25,1010.25,138.125,10.0,42.25,29.125,26.25,7.25,29.125,9,9,3,4,0,0
2021-09-10,0.0000,0.0000,35.0,24.0,29.0,63.0,12.0,7.0,4.875,1009.5,81.375,10.0,4.75,31.125,28.25,9.125,31.125,9,10,4,4,0,0
2021-09-11,0.0000,0.0000,35.0,24.0,29.0,58.625,12.0,7.0,6.75,1007.375,71.75,10.0,0.0,31.5,28.875,10.875,31.5,9,11,5,4,1,0
2021-09-12,0.0000,0.0000,34.0,23.0,28.0,59.375,12.0,7.0,11.5,1006.5,36.375,10.0,1.625,29.875,28.0,20.0,29.875,9,12,6,4,1,0
2021-09-13,0.0000,0.0000,32.0,22.0,26.0,63.875,12.0,7.0,13.0,1009.75,28.75,10.0,0.0,27.875,26.25,21.125,27.625,9,13,0,4,0,0
2021-09-14,0.0000,0.0000,30.0,23.0,26.0,72.125,6.0,7.0,14.875,1012.5,142.0,10.0,57.0,28.25,25.875,22.0,28.25,9,14,1,4,0,0
2021-09-15,0.0000,0.0000,30.0,20.0,25.0,66.5,11.0,7.0,12.0,1013.0,7.625,10.0,20.625,27.375,25.5,19.125,27.0,9,15,2,4,0,0
