date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,2134.5,8.0,2.0,4.0,52.0,10.0,2.0,13.0,1021.0,63.0,10.0,7.0,4.0,2.0,19.0,2.0,1,1,4,1,0,0
2016-01-02,1417.5,9.0,3.0,6.0,59.0,10.0,3.0,11.0,1017.0,82.0,10.0,29.0,6.0,4.0,17.0,4.0,1,2,5,1,1,0
2016-01-03,1366.25,12.0,4.0,8.0,64.0,4.0,2.0,11.0,1011.0,84.0,10.0,65.0,8.0,6.0,20.0,6.0,1,3,6,1,1,0
2016-01-04,2854.45,13.0,6.0,9.0,72.0,7.0,2.0,10.0,1008.0,130.0,10.0,68.0,9.0,8.0,23.0,8.0,1,4,0,1,0,0
2016-01-05,2722.25,13.0,8.0,11.0,86.0,7.0,3.0,15.0,1006.0,212.0,9.0,59.0,11.0,9.0,31.0,9.0,1,5,1,1,0,0
2016-01-06,2766.1,12.0,8.0,10.0,80.0,10.0,3.0,16.0,1006.0,177.0,9.0,73.0,10.0,8.0,31.0,8.0,1,6,2,1,0,0
2016-01-07,2791.75,12.0,4.0,8.0,83.0,10.0,2.0,4.0,1014.0,177.0,10.0,33.0,8.0,8.0,9.0,8.0,1,7,3,1,0,0
2016-01-08,2737.8,12.0,3.0,8.0,85.0,10.0,2.0,6.0,1019.0,112.0,9.0,43.0,8.0,7.0,9.0,7.0,1,8,4,1,0,0
2016-01-09,1393.9,12.0,9.0,10.0,83.0,1.0,2.0,8.0,1021.0,89.0,8.0,83.0,10.0,9.0,15.0,9.0,1,9,5,1,1,0
2016-01-10,1418.0,13.0,7.0,10.0,79.0,10.0,3.0,10.0,1023.0,81.0,10.0,28.0,10.0,9.0,14.0,9.0,1,10,6,1,1,0
2016-01-11,2843.0,13.0,9.0,11.0,80.0,4.0,3.0,8.0,1025.0,72.0,8.0,64.0,11.0,10.0,12.0,10.0,1,11,0,1,0,0
2016-01-12,2860.0,14.0,7.0,11.0,77.0,7.0,3.0,10.0,1022.0,110.0,9.0,49.0,11.0,10.0,20.0,10.0,1,12,1,1,0,0
2016-01-13,2884.75,14.0,9.0,12.0,82.0,6.0,3.0,19.0,1020.0,231.0,9.0,47.0,12.0,10.0,36.0,10.0,1,13,2,1,0,0
2016-01-14,2731.75,13.0,6.0,10.0,82.0,6.0,2.0,13.0,1020.0,184.0,10.0,58.0,10.0,8.0,24.0,8.0,1,14,3,1,0,0
2016-01-15,2937.25,15.0,8.0,11.0,82.0,10.0,4.0,8.0,1019.0,147.0,9.0,39.0,11.0,11.0,14.0,11.0,1,15,4,1,0,0
2016-01-16,1484.55,14.0,10.0,12.0,92.0,1.0,3.0,9.0,1021.0,127.0,5.0,86.0,12.0,11.0,20.0,11.0,1,16,5,1,1,0
2016-01-17,1484.25,15.0,12.0,13.0,93.0,1.0,3.0,15.0,1019.0,162.0,8.0,96.0,13.0,12.0,29.0,12.0,1,17,6,1,1,0
2016-01-18,2204.2086,15.0,12.0,13.0,89.0,3.0,3.0,7.0,1021.0,174.0,9.0,77.0,13.0,13.0,15.0,13.0,1,18,0,1,0,0
2016-01-19,3019.3,15.0,11.0,13.0,91.0,2.0,3.0,16.0,1018.0,206.0,10.0,81.0,13.0,12.0,32.0,12.0,1,19,1,1,0,0
2016-01-20,2976.75,16.0,9.0,12.0,83.0,10.0,4.0,5.0,1024.0,131.0,10.0,29.0,12.0,12.0,8.0,12.0,1,20,2,1,0,0
2016-01-21,3086.0,17.0,9.0,12.0,84.0,10.0,3.0,9.0,1020.0,115.0,10.0,51.0,12.0,12.0,16.0,12.0,1,21,3,1,0,0
2016-01-22,2958.75,15.0,13.0,14.0,89.0,1.0,3.0,17.0,1016.0,166.0,8.0,90.0,14.0,12.0,35.0,12.0,1,22,4,1,0,0
2016-01-23,1505.25,13.0,10.0,11.0,80.0,4.0,3.0,21.0,1019.0,257.0,10.0,50.0,11.0,9.0,35.0,9.0,1,23,5,1,1,0
2016-01-24,1420.5,14.0,8.0,10.0,80.0,9.0,3.0,10.0,1023.0,269.0,10.0,37.0,10.0,9.0,17.0,9.0,1,24,6,1,1,0
2016-01-25,3061.25,16.0,9.0,12.0,83.0,10.0,3.0,4.0,1024.0,191.0,9.0,42.0,12.0,12.0,8.0,12.0,1,25,0,1,0,0
2016-01-26,3018.25,15.0,7.0,10.0,78.0,10.0,3.0,6.0,1026.0,69.0,10.0,44.0,10.0,10.0,12.0,10.0,1,26,1,1,0,0
2016-01-27,3174.5,18.0,7.0,12.0,76.0,10.0,4.0,6.0,1026.0,143.0,10.0,22.0,12.0,11.0,12.0,11.0,1,27,2,1,0,0
2016-01-28,3143.3,16.0,7.0,11.0,79.0,10.0,3.0,6.0,1024.0,198.0,10.0,48.0,11.0,11.0,9.0,11.0,1,28,3,1,0,0
2016-01-29,3055.5,15.0,12.0,14.0,94.0,1.0,3.0,14.0,1020.0,208.0,7.0,96.0,14.0,12.0,24.0,12.0,1,29,4,1,0,0
2016-01-30,1494.7,13.0,9.0,11.0,76.0,10.0,4.0,12.0,1017.0,280.0,10.0,43.0,11.0,9.0,21.0,9.0,1,30,5,1,1,0
2016-01-31,1445.5,12.0,7.0,9.0,61.0,10.0,3.0,19.0,1011.0,320.0,10.0,28.0,9.0,7.0,32.0,7.0,1,31,6,1,1,0
2016-02-01,2851.5,13.0,5.0,8.0,56.0,10.0,3.0,17.0,1022.0,312.0,10.0,11.0,8.0,5.0,31.0,5.0,2,1,0,1,0,0
2016-02-02,2894.1738,11.0,5.0,8.0,77.0,10.0,2.0,10.0,1025.0,110.0,10.0,44.0,8.0,7.0,18.0,7.0,2,2,1,1,0,0
2016-02-03,2799.75,12.0,3.0,8.0,73.0,5.0,2.0,6.0,1028.0,88.0,8.0,62.0,8.0,7.0,12.0,7.0,2,3,2,1,0,0
2016-02-04,2825.0,15.0,6.0,10.0,75.0,10.0,4.0,8.0,1029.0,77.0,10.0,19.0,10.0,9.0,15.0,9.0,2,4,3,1,0,0
2016-02-05,3196.25,16.0,4.0,10.0,74.0,10.0,3.0,6.0,1029.0,64.0,10.0,11.0,10.0,9.0,13.0,9.0,2,5,4,1,0,0
2016-02-06,1665.55,18.0,5.0,12.0,75.0,10.0,4.0,5.0,1028.0,134.0,10.0,6.0,12.0,11.0,12.0,11.0,2,6,5,1,1,0
2016-02-07,1624.1,19.0,8.0,14.0,66.0,10.0,4.0,7.0,1024.0,82.0,10.0,0.0,14.0,14.0,15.0,14.0,2,7,6,1,1,0
2016-02-08,3423.75,22.0,11.0,15.0,64.0,10.0,5.0,11.0,1022.0,88.0,10.0,0.0,16.0,15.0,21.0,15.0,2,8,0,1,0,0
2016-02-09,3383.5,20.0,9.0,14.0,70.0,10.0,4.0,7.0,1022.0,146.0,10.0,13.0,14.0,14.0,15.0,14.0,2,9,1,1,0,0
2016-02-10,3467.0,20.0,9.0,14.0,68.0,10.0,4.0,4.0,1022.0,146.0,10.0,8.0,14.0,14.0,9.0,14.0,2,10,2,1,0,0
2016-02-11,3385.25,19.0,9.0,14.0,69.0,10.0,3.0,5.0,1021.0,137.0,10.0,26.0,14.0,14.0,11.0,14.0,2,11,3,1,0,0
2016-02-12,3363.5,20.0,9.0,14.0,79.0,9.0,3.0,6.0,1022.0,273.0,10.0,45.0,14.0,14.0,12.0,14.0,2,12,4,1,0,0
2016-02-13,1708.45,20.0,10.0,14.0,78.0,10.0,4.0,8.0,1024.0,268.0,8.0,5.0,14.0,14.0,14.0,14.0,2,13,5,1,1,0
2016-02-14,1715.2,22.0,11.0,15.0,70.0,10.0,5.0,12.0,1024.0,308.0,10.0,7.0,16.0,15.0,22.0,15.0,2,14,6,1,1,0
2016-02-15,2710.5,25.0,12.0,18.0,72.0,11.0,5.0,5.0,1019.0,210.0,10.0,4.0,18.0,18.0,12.0,18.0,2,15,0,1,0,0
2016-02-16,3567.5,21.0,11.0,16.0,67.0,10.0,4.0,7.0,1012.0,105.0,10.0,45.0,16.0,16.0,15.0,16.0,2,16,1,1,0,0
2016-02-17,3334.25,17.0,11.0,14.0,78.0,9.0,3.0,23.0,1003.0,198.0,10.0,53.0,14.0,13.0,43.0,13.0,2,17,2,1,0,0
2016-02-18,3042.0,15.0,10.0,12.0,73.0,4.0,3.0,19.0,1014.0,213.0,10.0,55.0,12.0,10.0,34.0,10.0,2,18,3,1,0,0
2016-02-19,2837.15,14.0,9.0,11.0,77.0,4.0,3.0,14.0,1021.0,219.0,10.0,54.0,11.0,10.0,25.0,10.0,2,19,4,1,0,0
2016-02-20,1630.05,17.0,6.0,11.0,71.0,11.0,3.0,6.0,1023.0,211.0,10.0,18.0,11.0,10.0,12.0,10.0,2,20,5,1,1,0
2016-02-21,1614.0,17.0,7.0,11.0,70.0,11.0,4.0,6.0,1025.0,296.0,10.0,7.0,11.0,11.0,12.0,11.0,2,21,6,1,1,0
2016-02-22,3169.95,20.0,9.0,14.0,66.0,11.0,4.0,5.0,1022.0,226.0,10.0,16.0,14.0,14.0,10.0,14.0,2,22,0,1,0,0
2016-02-23,3170.25,20.0,7.0,13.0,55.0,8.0,3.0,6.0,1018.0,179.0,10.0,41.0,13.0,13.0,12.0,13.0,2,23,1,1,0,0
2016-02-24,3298.25,21.0,8.0,14.0,68.0,11.0,4.0,4.0,1020.0,159.0,10.0,7.0,14.0,14.0,8.0,14.0,2,24,2,1,0,0
2016-02-25,3385.243,20.0,9.0,15.0,74.0,11.0,3.0,3.0,1020.0,152.0,10.0,27.0,15.0,15.0,9.0,15.0,2,25,3,1,0,0
2016-02-26,3204.25,18.0,10.0,13.0,78.0,6.0,3.0,7.0,1020.0,237.0,10.0,63.0,13.0,13.0,15.0,13.0,2,26,4,1,0,0
2016-02-27,1690.4,19.0,10.0,14.0,78.0,11.0,4.0,6.0,1021.0,291.0,9.0,18.0,14.0,14.0,14.0,14.0,2,27,5,1,1,0
2016-02-28,1593.0,18.0,9.0,13.0,81.0,12.0,4.0,6.0,1022.0,249.0,10.0,35.0,13.0,13.0,12.0,13.0,2,28,6,1,1,0
2016-02-29,3300.45,21.0,9.0,14.0,73.0,12.0,4.0,4.0,1021.0,176.0,9.0,24.0,14.0,14.0,9.0,14.0,2,29,0,1,0,0
2016-03-01,3346.5,19.0,10.0,14.0,77.0,12.0,4.0,8.0,1020.0,241.0,10.0,29.0,14.0,14.0,14.0,14.0,3,1,1,2,0,0
2016-03-02,3322.5,19.0,11.0,14.0,88.0,12.0,3.0,8.0,1019.0,202.0,8.0,28.0,14.0,13.0,14.0,13.0,3,2,2,2,0,0
2016-03-03,3333.75,16.0,12.0,14.0,88.0,1.0,3.0,6.0,1019.0,204.0,7.0,81.0,14.0,14.0,11.0,14.0,3,3,3,2,0,0
2016-03-04,3337.0,17.0,12.0,15.0,92.0,4.0,3.0,12.0,1015.0,185.0,6.0,83.0,15.0,14.0,20.0,14.0,3,4,4,2,0,0
2016-03-05,1574.5,16.0,12.0,15.0,90.0,1.0,3.0,24.0,1009.0,180.0,9.0,85.0,15.0,13.0,47.0,13.0,3,5,5,2,1,0
2016-03-06,1532.7,15.0,10.0,12.0,75.0,7.0,3.0,19.0,1013.0,223.0,9.0,71.0,12.0,10.0,39.0,10.0,3,6,6,2,1,0
2016-03-07,2775.75,13.0,8.0,11.0,73.0,10.0,3.0,14.0,1011.0,286.0,10.0,49.0,11.0,9.0,30.0,9.0,3,7,0,2,0,0
2016-03-08,2934.5,13.0,7.0,9.0,79.0,7.0,2.0,9.0,1019.0,239.0,9.0,43.0,9.0,8.0,18.0,8.0,3,8,1,2,0,0
2016-03-09,3129.75,17.0,10.0,13.0,86.0,5.0,3.0,10.0,1018.0,144.0,6.0,71.0,13.0,12.0,20.0,12.0,3,9,2,2,0,0
2016-03-10,3200.25,16.0,12.0,14.0,91.0,4.0,3.0,13.0,1016.0,169.0,8.0,78.0,14.0,13.0,27.0,13.0,3,10,3,2,0,0
2016-03-11,2776.0,13.0,10.0,12.0,85.0,4.0,3.0,24.0,1010.0,203.0,10.0,85.0,12.0,10.0,44.0,10.0,3,11,4,2,0,0
2016-03-12,1537.0,14.0,10.0,12.0,85.0,1.0,3.0,21.0,1019.0,189.0,9.0,92.0,12.0,10.0,37.0,10.0,3,12,5,2,1,0
2016-03-13,1424.75,14.0,12.0,13.0,93.0,1.0,3.0,20.0,1017.0,212.0,9.0,93.0,13.0,11.0,38.0,11.0,3,13,6,2,1,0
2016-03-14,3097.25,15.0,8.0,12.0,77.0,11.0,3.0,14.0,1023.0,279.0,10.0,51.0,12.0,10.0,24.0,10.0,3,14,0,2,0,0
2016-03-15,3292.95,18.0,7.0,12.0,70.0,12.0,4.0,7.0,1023.0,288.0,10.0,12.0,12.0,12.0,15.0,12.0,3,15,1,2,0,0
2016-03-16,3471.5,22.0,9.0,15.0,71.0,12.0,4.0,5.0,1018.0,241.0,10.0,6.0,15.0,15.0,10.0,15.0,3,16,2,2,0,0
2016-03-17,3737.25,24.0,10.0,16.0,73.0,12.0,5.0,7.0,1014.0,184.0,10.0,2.0,17.0,16.0,15.0,16.0,3,17,3,2,0,0
2016-03-18,3173.3,19.0,10.0,13.0,83.0,12.0,3.0,9.0,1015.0,248.0,9.0,25.0,13.0,13.0,17.0,13.0,3,18,4,2,0,0
2016-03-19,1648.9893,17.0,10.0,13.0,88.0,12.0,3.0,9.0,1017.0,219.0,9.0,48.0,13.0,13.0,16.0,13.0,3,19,5,2,1,0
2016-03-20,1615.25,17.0,11.0,14.0,88.0,3.0,3.0,12.0,1018.0,199.0,9.0,72.0,14.0,13.0,26.0,13.0,3,20,6,2,1,0
2016-03-21,2961.0,15.0,9.0,12.0,82.0,6.0,3.0,18.0,1019.0,221.0,9.0,50.0,12.0,11.0,34.0,11.0,3,21,0,2,0,0
2016-03-22,3075.2,16.0,8.0,11.0,71.0,10.0,3.0,15.0,1024.0,293.0,10.0,17.0,11.0,10.0,26.0,10.0,3,22,1,2,0,0
2016-03-23,3311.0,18.0,8.0,12.0,72.0,11.0,3.0,8.0,1025.0,294.0,10.0,20.0,12.0,12.0,16.0,12.0,3,23,2,2,0,0
2016-03-24,3396.9,19.0,9.0,13.0,76.0,12.0,4.0,10.0,1023.0,264.0,10.0,14.0,13.0,13.0,20.0,13.0,3,24,3,2,0,0
2016-03-25,2552.5,20.0,9.0,14.0,77.0,12.0,4.0,9.0,1017.0,263.0,10.0,17.0,14.0,13.0,19.0,13.0,3,25,4,2,0,0
2016-03-26,1576.15,20.0,9.0,14.0,75.0,12.0,4.0,11.0,1016.0,272.0,9.0,16.0,14.0,14.0,22.0,14.0,3,26,5,2,1,0
2016-03-27,1531.5,18.0,9.0,13.0,75.0,12.0,4.0,15.0,1018.0,262.0,9.0,25.0,13.0,12.0,30.0,12.0,3,27,6,2,1,0
2016-03-28,3064.5,15.0,8.0,11.0,59.0,13.0,4.0,19.0,1014.0,296.0,10.0,10.0,11.0,9.0,38.0,9.0,3,28,0,2,0,0
2016-03-29,3211.15,16.0,7.0,11.0,64.0,13.0,4.0,8.0,1012.0,249.0,10.0,6.0,11.0,11.0,16.0,11.0,3,29,1,2,0,0
2016-03-30,3305.5,16.0,8.0,12.0,78.0,13.0,4.0,9.0,1016.0,243.0,10.0,7.0,12.0,11.0,18.0,11.0,3,30,2,2,0,0
2016-03-31,3329.25,18.0,9.0,12.0,85.0,10.0,3.0,11.0,1020.0,244.0,8.0,40.0,12.0,11.0,22.0,11.0,3,31,3,2,0,0
2016-04-01,3278.75,17.0,9.0,12.0,83.0,13.0,4.0,12.0,1021.0,249.0,9.0,13.0,12.0,11.0,20.0,11.0,4,1,4,2,0,0
2016-04-02,1604.5,19.0,9.0,13.0,80.0,13.0,4.0,7.0,1021.0,241.0,10.0,14.0,13.0,12.0,15.0,12.0,4,2,5,2,1,0
2016-04-03,1551.0,18.0,9.0,12.0,80.0,12.0,3.0,10.0,1019.0,249.0,10.0,31.0,12.0,12.0,18.0,12.0,4,3,6,2,1,0
2016-04-04,3693.7704,21.0,12.0,16.0,76.0,13.0,5.0,10.0,1022.0,263.0,8.0,22.0,16.0,15.0,21.0,15.0,4,4,0,2,0,0
2016-04-05,3739.3360000000002,25.0,10.0,18.0,62.0,13.0,5.0,5.0,1021.0,157.0,10.0,0.0,18.0,18.0,13.0,18.0,4,5,1,2,0,0
2016-04-06,4236.75,29.0,14.0,21.0,52.0,13.0,6.0,9.0,1017.0,116.0,10.0,3.0,21.0,21.0,19.0,21.0,4,6,2,2,0,0
