date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,1082.8971999999999,8.0,2.0,4.0,52.0,10.0,2.0,13.0,1021.0,63.0,10.0,7.0,4.0,2.0,19.0,2.0,1,1,4,1,0,0
2016-01-02,1102.6549999999997,9.0,3.0,6.0,59.0,10.0,3.0,11.0,1017.0,82.0,10.0,29.0,6.0,4.0,17.0,4.0,1,2,5,1,1,0
2016-01-03,1091.6568,12.0,4.0,8.0,64.0,4.0,2.0,11.0,1011.0,84.0,10.0,65.0,8.0,6.0,20.0,6.0,1,3,6,1,1,0
2016-01-04,1323.5425,13.0,6.0,9.0,72.0,7.0,2.0,10.0,1008.0,130.0,10.0,68.0,9.0,8.0,23.0,8.0,1,4,0,1,0,0
2016-01-05,1364.2415,13.0,8.0,11.0,86.0,7.0,3.0,15.0,1006.0,212.0,9.0,59.0,11.0,9.0,31.0,9.0,1,5,1,1,0,0
2016-01-06,1389.685,12.0,8.0,10.0,80.0,10.0,3.0,16.0,1006.0,177.0,9.0,73.0,10.0,8.0,31.0,8.0,1,6,2,1,0,0
2016-01-07,1377.8675,12.0,4.0,8.0,83.0,10.0,2.0,4.0,1014.0,177.0,10.0,33.0,8.0,8.0,9.0,8.0,1,7,3,1,0,0
2016-01-08,1368.6850000000002,12.0,3.0,8.0,85.0,10.0,2.0,6.0,1019.0,112.0,9.0,43.0,8.0,7.0,9.0,7.0,1,8,4,1,0,0
2016-01-09,1117.7350000000001,12.0,9.0,10.0,83.0,1.0,2.0,8.0,1021.0,89.0,8.0,83.0,10.0,9.0,15.0,9.0,1,9,5,1,1,0
2016-01-10,1068.7125,13.0,7.0,10.0,79.0,10.0,3.0,10.0,1023.0,81.0,10.0,28.0,10.0,9.0,14.0,9.0,1,10,6,1,1,0
2016-01-11,1360.4125000000001,13.0,9.0,11.0,80.0,4.0,3.0,8.0,1025.0,72.0,8.0,64.0,11.0,10.0,12.0,10.0,1,11,0,1,0,0
2016-01-12,1401.3125,14.0,7.0,11.0,77.0,7.0,3.0,10.0,1022.0,110.0,9.0,49.0,11.0,10.0,20.0,10.0,1,12,1,1,0,0
2016-01-13,1399.8925,14.0,9.0,12.0,82.0,6.0,3.0,19.0,1020.0,231.0,9.0,47.0,12.0,10.0,36.0,10.0,1,13,2,1,0,0
2016-01-14,1418.0875,13.0,6.0,10.0,82.0,6.0,2.0,13.0,1020.0,184.0,10.0,58.0,10.0,8.0,24.0,8.0,1,14,3,1,0,0
2016-01-15,1383.2945000000002,15.0,8.0,11.0,82.0,10.0,4.0,8.0,1019.0,147.0,9.0,39.0,11.0,11.0,14.0,11.0,1,15,4,1,0,0
2016-01-16,1129.06,14.0,10.0,12.0,92.0,1.0,3.0,9.0,1021.0,127.0,5.0,86.0,12.0,11.0,20.0,11.0,1,16,5,1,1,0
