date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,11179.46,17.0,1.0,9.0,40.0,10.0,3.0,7.0,1020.0,115.0,10.0,7.0,9.0,8.0,14.0,8.0,1,1,4,1,0,0
2016-01-02,11264.829999999998,19.0,5.0,12.0,46.0,10.0,3.0,11.0,1020.0,82.0,10.0,18.0,12.0,11.0,19.0,11.0,1,2,5,1,1,0
2016-01-03,11292.21,21.0,6.0,13.0,34.0,10.0,4.0,13.0,1017.0,88.0,10.0,22.0,13.0,12.0,23.0,12.0,1,3,6,1,1,0
2016-01-04,12204.329999999998,16.0,10.0,13.0,46.0,6.0,3.0,9.0,1013.0,126.0,10.0,65.0,13.0,12.0,21.0,12.0,1,4,0,1,0,0
2016-01-05,11767.95,13.0,11.0,11.0,74.0,1.0,3.0,9.0,1014.0,91.0,5.0,100.0,11.0,11.0,15.0,11.0,1,5,1,1,0,0
2016-01-06,11784.98,14.0,9.0,12.0,75.0,8.0,3.0,11.0,1014.0,186.0,9.0,50.0,12.0,11.0,21.0,11.0,1,6,2,1,0,0
2016-01-07,11841.15,12.0,7.0,9.0,81.0,6.0,2.0,10.0,1012.0,165.0,8.0,74.0,9.0,8.0,22.0,8.0,1,7,3,1,0,0
2016-01-08,11786.789999999999,12.0,4.0,8.0,74.0,10.0,3.0,5.0,1014.0,204.0,10.0,37.0,8.0,8.0,11.0,8.0,1,8,4,1,0,0
2016-01-09,10835.65,14.0,6.0,9.0,70.0,10.0,3.0,4.0,1022.0,110.0,10.0,13.0,9.0,9.0,8.0,9.0,1,9,5,1,1,0
2016-01-10,10880.9,13.0,5.0,9.0,65.0,7.0,2.0,5.0,1022.0,177.0,10.0,48.0,9.0,9.0,9.0,9.0,1,10,6,1,1,0
2016-01-11,12056.149999999998,12.0,3.0,8.0,48.0,10.0,3.0,6.0,1025.0,171.0,10.0,2.0,8.0,7.0,11.0,7.0,1,11,0,1,0,0
2016-01-12,12216.670000000002,18.0,1.0,9.0,39.0,10.0,3.0,8.0,1023.0,136.0,10.0,0.0,9.0,7.0,15.0,7.0,1,12,1,1,0,0
2016-01-13,12232.319999999998,18.0,2.0,9.0,37.0,10.0,3.0,7.0,1019.0,162.0,10.0,1.0,9.0,8.0,13.0,8.0,1,13,2,1,0,0
2016-01-14,12073.079999999996,16.0,3.0,10.0,36.0,10.0,3.0,4.0,1017.0,190.0,10.0,13.0,10.0,10.0,8.0,10.0,1,14,3,1,0,0
2016-01-15,11958.88,15.0,4.0,9.0,41.0,9.0,2.0,7.0,1016.0,163.0,10.0,24.0,9.0,8.0,13.0,8.0,1,15,4,1,0,0
2016-01-16,11148.570000000002,15.0,2.0,9.0,53.0,10.0,3.0,5.0,1020.0,149.0,10.0,22.0,9.0,8.0,9.0,8.0,1,16,5,1,1,0
2016-01-17,11129.07,18.0,4.0,11.0,44.0,10.0,4.0,3.0,1021.0,113.0,10.0,18.0,11.0,11.0,6.0,11.0,1,17,6,1,1,0
2016-01-18,11547.079999999998,20.0,5.0,12.0,40.0,10.0,4.0,6.0,1020.0,163.0,10.0,18.0,12.0,11.0,10.0,11.0,1,18,0,1,0,0
2016-01-19,12296.230000000003,20.0,4.0,12.0,43.0,10.0,4.0,4.0,1020.0,223.0,10.0,15.0,12.0,12.0,8.0,12.0,1,19,1,1,0,0
2016-01-20,12560.26,20.0,6.0,13.0,47.0,10.0,4.0,5.0,1021.0,221.0,10.0,5.0,13.0,13.0,8.0,13.0,1,20,2,1,0,0
2016-01-21,12258.850000000002,20.0,5.0,12.0,36.0,10.0,3.0,8.0,1024.0,127.0,10.0,30.0,12.0,11.0,15.0,11.0,1,21,3,1,0,0
2016-01-22,12233.14,22.0,5.0,13.0,26.0,10.0,3.0,9.0,1021.0,127.0,10.0,57.0,13.0,12.0,16.0,12.0,1,22,4,1,0,0
2016-01-23,11484.399999999998,22.0,6.0,13.0,23.0,1.0,3.0,6.0,1015.0,143.0,10.0,81.0,13.0,13.0,12.0,13.0,1,23,5,1,1,0
2016-01-24,11152.449999999999,18.0,8.0,13.0,35.0,10.0,4.0,7.0,1014.0,236.0,10.0,7.0,13.0,13.0,12.0,13.0,1,24,6,1,1,0
2016-01-25,12274.12,19.0,5.0,12.0,42.0,10.0,4.0,5.0,1017.0,161.0,10.0,7.0,12.0,11.0,9.0,11.0,1,25,0,1,0,0
2016-01-26,12517.349999999997,20.0,4.0,11.0,29.0,10.0,4.0,10.0,1023.0,147.0,10.0,9.0,11.0,10.0,23.0,10.0,1,26,1,1,0,0
2016-01-27,12587.66,20.0,3.0,12.0,28.0,10.0,4.0,9.0,1025.0,141.0,10.0,1.0,12.0,11.0,16.0,11.0,1,27,2,1,0,0
2016-01-28,12386.199999999999,20.0,5.0,12.0,26.0,10.0,3.0,5.0,1021.0,147.0,10.0,26.0,12.0,12.0,11.0,12.0,1,28,3,1,0,0
2016-01-29,12489.789999999999,20.0,3.0,12.0,28.0,10.0,3.0,4.0,1017.0,209.0,10.0,22.0,12.0,12.0,9.0,12.0,1,29,4,1,0,0
2016-01-30,11473.550000000003,23.0,6.0,14.0,24.0,10.0,4.0,6.0,1014.0,141.0,10.0,7.0,14.0,14.0,11.0,14.0,1,30,5,1,1,0
2016-01-31,11459.900000000001,23.0,9.0,15.0,41.0,10.0,4.0,11.0,1009.0,172.0,10.0,16.0,16.0,15.0,26.0,15.0,1,31,6,1,1,0
2016-02-01,12255.820000000002,13.0,6.0,9.0,50.0,9.0,2.0,22.0,1010.0,251.0,9.0,34.0,9.0,6.0,36.0,6.0,2,1,0,1,0,0
2016-02-02,12432.200000000003,10.0,1.0,6.0,38.0,10.0,3.0,11.0,1020.0,286.0,10.0,3.0,6.0,4.0,18.0,4.0,2,2,1,1,0,0
2016-02-03,12461.449999999999,13.0,-0.0,7.0,27.0,11.0,3.0,5.0,1026.0,119.0,10.0,0.0,7.0,6.0,10.0,6.0,2,3,2,1,0,0
2016-02-04,12197.609999999999,17.0,-0.0,8.0,25.0,11.0,3.0,8.0,1027.0,105.0,10.0,9.0,8.0,6.0,17.0,6.0,2,4,3,1,0,0
