date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,3623.0399999999995,17.0,1.0,9.0,40.0,10.0,3.0,7.0,1020.0,115.0,10.0,7.0,9.0,8.0,14.0,8.0,1,1,4,1,0,0
2016-01-02,3730.7499999999995,19.0,5.0,12.0,46.0,10.0,3.0,11.0,1020.0,82.0,10.0,18.0,12.0,11.0,19.0,11.0,1,2,5,1,1,0
2016-01-03,3717.6299999999997,21.0,6.0,13.0,34.0,10.0,4.0,13.0,1017.0,88.0,10.0,22.0,13.0,12.0,23.0,12.0,1,3,6,1,1,0
2016-01-04,3599.640000000001,16.0,10.0,13.0,46.0,6.0,3.0,9.0,1013.0,126.0,10.0,65.0,13.0,12.0,21.0,12.0,1,4,0,1,0,0
2016-01-05,3638.91,13.0,11.0,11.0,74.0,1.0,3.0,9.0,1014.0,91.0,5.0,100.0,11.0,11.0,15.0,11.0,1,5,1,1,0,0
2016-01-06,3554.6000000000004,14.0,9.0,12.0,75.0,8.0,3.0,11.0,1014.0,186.0,9.0,50.0,12.0,11.0,21.0,11.0,1,6,2,1,0,0
2016-01-07,3971.55,12.0,7.0,9.0,81.0,6.0,2.0,10.0,1012.0,165.0,8.0,74.0,9.0,8.0,22.0,8.0,1,7,3,1,0,0
2016-01-08,3967.0800000000004,12.0,4.0,8.0,74.0,10.0,3.0,5.0,1014.0,204.0,10.0,37.0,8.0,8.0,11.0,8.0,1,8,4,1,0,0
2016-01-09,4169.07,14.0,6.0,9.0,70.0,10.0,3.0,4.0,1022.0,110.0,10.0,13.0,9.0,9.0,8.0,9.0,1,9,5,1,1,0
2016-01-10,4775.07,13.0,5.0,9.0,65.0,7.0,2.0,5.0,1022.0,177.0,10.0,48.0,9.0,9.0,9.0,9.0,1,10,6,1,1,0
2016-01-11,4947.05,12.0,3.0,8.0,48.0,10.0,3.0,6.0,1025.0,171.0,10.0,2.0,8.0,7.0,11.0,7.0,1,11,0,1,0,0
2016-01-12,4965.189999999999,18.0,1.0,9.0,39.0,10.0,3.0,8.0,1023.0,136.0,10.0,0.0,9.0,7.0,15.0,7.0,1,12,1,1,0,0
2016-01-13,4856.760000000001,18.0,2.0,9.0,37.0,10.0,3.0,7.0,1019.0,162.0,10.0,1.0,9.0,8.0,13.0,8.0,1,13,2,1,0,0
2016-01-14,4999.34,16.0,3.0,10.0,36.0,10.0,3.0,4.0,1017.0,190.0,10.0,13.0,10.0,10.0,8.0,10.0,1,14,3,1,0,0
2016-01-15,5131.77,15.0,4.0,9.0,41.0,9.0,2.0,7.0,1016.0,163.0,10.0,24.0,9.0,8.0,13.0,8.0,1,15,4,1,0,0
2016-01-16,4869.750000000001,15.0,2.0,9.0,53.0,10.0,3.0,5.0,1020.0,149.0,10.0,22.0,9.0,8.0,9.0,8.0,1,16,5,1,1,0
2016-01-17,4973.409999999999,18.0,4.0,11.0,44.0,10.0,4.0,3.0,1021.0,113.0,10.0,18.0,11.0,11.0,6.0,11.0,1,17,6,1,1,0
