date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,7383.590000000001,17.0,1.0,9.0,40.0,10.0,3.0,7.0,1020.0,115.0,10.0,7.0,9.0,8.0,14.0,8.0,1,1,4,1,0,0
2016-01-02,7733.280000000001,19.0,5.0,12.0,46.0,10.0,3.0,11.0,1020.0,82.0,10.0,18.0,12.0,11.0,19.0,11.0,1,2,5,1,1,0
2016-01-03,7689.930000000001,21.0,6.0,13.0,34.0,10.0,4.0,13.0,1017.0,88.0,10.0,22.0,13.0,12.0,23.0,12.0,1,3,6,1,1,0
2016-01-04,8128.63,16.0,10.0,13.0,46.0,6.0,3.0,9.0,1013.0,126.0,10.0,65.0,13.0,12.0,21.0,12.0,1,4,0,1,0,0
2016-01-05,8250.34,13.0,11.0,11.0,74.0,1.0,3.0,9.0,1014.0,91.0,5.0,100.0,11.0,11.0,15.0,11.0,1,5,1,1,0,0
2016-01-06,8150.629999999999,14.0,9.0,12.0,75.0,8.0,3.0,11.0,1014.0,186.0,9.0,50.0,12.0,11.0,21.0,11.0,1,6,2,1,0,0
2016-01-07,8040.409999999999,12.0,7.0,9.0,81.0,6.0,2.0,10.0,1012.0,165.0,8.0,74.0,9.0,8.0,22.0,8.0,1,7,3,1,0,0
2016-01-08,8147.990000000001,12.0,4.0,8.0,74.0,10.0,3.0,5.0,1014.0,204.0,10.0,37.0,8.0,8.0,11.0,8.0,1,8,4,1,0,0
2016-01-09,7726.769999999997,14.0,6.0,9.0,70.0,10.0,3.0,4.0,1022.0,110.0,10.0,13.0,9.0,9.0,8.0,9.0,1,9,5,1,1,0
2016-01-10,7794.509999999998,13.0,5.0,9.0,65.0,7.0,2.0,5.0,1022.0,177.0,10.0,48.0,9.0,9.0,9.0,9.0,1,10,6,1,1,0
2016-01-11,8579.779999999999,12.0,3.0,8.0,48.0,10.0,3.0,6.0,1025.0,171.0,10.0,2.0,8.0,7.0,11.0,7.0,1,11,0,1,0,0
2016-01-12,8827.62,18.0,1.0,9.0,39.0,10.0,3.0,8.0,1023.0,136.0,10.0,0.0,9.0,7.0,15.0,7.0,1,12,1,1,0,0
2016-01-13,8875.529999999999,18.0,2.0,9.0,37.0,10.0,3.0,7.0,1019.0,162.0,10.0,1.0,9.0,8.0,13.0,8.0,1,13,2,1,0,0
2016-01-14,9052.400000000001,16.0,3.0,10.0,36.0,10.0,3.0,4.0,1017.0,190.0,10.0,13.0,10.0,10.0,8.0,10.0,1,14,3,1,0,0
2016-01-15,8832.53,15.0,4.0,9.0,41.0,9.0,2.0,7.0,1016.0,163.0,10.0,24.0,9.0,8.0,13.0,8.0,1,15,4,1,0,0
2016-01-16,8179.220000000001,15.0,2.0,9.0,53.0,10.0,3.0,5.0,1020.0,149.0,10.0,22.0,9.0,8.0,9.0,8.0,1,16,5,1,1,0
2016-01-17,8109.37,18.0,4.0,11.0,44.0,10.0,4.0,3.0,1021.0,113.0,10.0,18.0,11.0,11.0,6.0,11.0,1,17,6,1,1,0
2016-01-18,7878.849999999999,20.0,5.0,12.0,40.0,10.0,4.0,6.0,1020.0,163.0,10.0,18.0,12.0,11.0,10.0,11.0,1,18,0,1,0,0
2016-01-19,9141.630000000001,20.0,4.0,12.0,43.0,10.0,4.0,4.0,1020.0,223.0,10.0,15.0,12.0,12.0,8.0,12.0,1,19,1,1,0,0
2016-01-20,9211.93,20.0,6.0,13.0,47.0,10.0,4.0,5.0,1021.0,221.0,10.0,5.0,13.0,13.0,8.0,13.0,1,20,2,1,0,0
2016-01-21,9096.1,20.0,5.0,12.0,36.0,10.0,3.0,8.0,1024.0,127.0,10.0,30.0,12.0,11.0,15.0,11.0,1,21,3,1,0,0
2016-01-22,9031.199999999999,22.0,5.0,13.0,26.0,10.0,3.0,9.0,1021.0,127.0,10.0,57.0,13.0,12.0,16.0,12.0,1,22,4,1,0,0
2016-01-23,8540.01,22.0,6.0,13.0,23.0,1.0,3.0,6.0,1015.0,143.0,10.0,81.0,13.0,13.0,12.0,13.0,1,23,5,1,1,0
2016-01-24,8339.2,18.0,8.0,13.0,35.0,10.0,4.0,7.0,1014.0,236.0,10.0,7.0,13.0,13.0,12.0,13.0,1,24,6,1,1,0
2016-01-25,9250.18,19.0,5.0,12.0,42.0,10.0,4.0,5.0,1017.0,161.0,10.0,7.0,12.0,11.0,9.0,11.0,1,25,0,1,0,0
