date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,2005.5559999999998,-2.0,-10.0,-6.0,92.0,5.0,1.0,17.0,1020.0,268.0,10.0,77.0,-6.0,-13.0,30.0,-13.0,1,1,4,1,0,0
2016-01-02,1869.746,-2.0,-10.0,-6.0,90.0,9.0,1.0,17.0,1019.0,268.0,10.0,32.0,-6.0,-12.0,30.0,-12.0,1,2,5,1,1,0
2016-01-03,1775.533,-3.0,-8.0,-5.0,91.0,4.0,1.0,16.0,1027.0,304.0,10.0,69.0,-5.0,-11.0,28.0,-11.0,1,3,6,1,1,0
2016-01-04,2518.4790000000003,-6.0,-10.0,-8.0,91.0,6.0,1.0,13.0,1032.0,249.0,8.0,65.0,-8.0,-14.0,21.0,-14.0,1,4,0,1,0,0
2016-01-05,2635.115,-3.0,-7.0,-5.0,90.0,7.0,1.0,21.0,1024.0,185.0,9.0,64.0,-5.0,-12.0,36.0,-12.0,1,5,1,1,0,0
2016-01-06,2551.968,-0.0,-6.0,-3.0,94.0,1.0,1.0,12.0,1019.0,171.0,8.0,94.0,-3.0,-7.0,21.0,-7.0,1,6,2,1,0,0
2016-01-07,2555.035,0.0,-2.0,-1.0,97.0,1.0,1.0,8.0,1016.0,114.0,3.0,97.0,-1.0,-4.0,14.0,-4.0,1,7,3,1,0,0
2016-01-08,2483.86,0.0,-5.0,-1.0,96.0,1.0,1.0,13.0,1012.0,235.0,4.0,100.0,-1.0,-6.0,21.0,-6.0,1,8,4,1,0,0
2016-01-09,2104.3929999999996,-5.0,-22.0,-14.0,91.0,1.0,1.0,18.0,1023.0,324.0,9.0,96.0,-14.0,-23.0,31.0,-23.0,1,9,5,1,1,0
2016-01-10,1922.2370000000003,-19.0,-25.0,-23.0,94.0,2.0,1.0,11.0,1025.0,284.0,7.0,78.0,-23.0,-31.0,21.0,-31.0,1,10,6,1,1,0
2016-01-11,2612.0429999999997,-15.0,-27.0,-21.0,96.0,1.0,1.0,9.0,1016.0,216.0,2.0,86.0,-21.0,-27.0,15.0,-27.0,1,11,0,1,0,0
2016-01-12,2704.285,-17.0,-22.0,-20.0,93.0,1.0,1.0,15.0,1023.0,277.0,10.0,80.0,-20.0,-29.0,27.0,-29.0,1,12,1,1,0,0
2016-01-13,2826.62,-6.0,-21.0,-14.0,96.0,1.0,1.0,8.0,1013.0,213.0,5.0,87.0,-14.0,-19.0,15.0,-19.0,1,13,2,1,0,0
2016-01-14,2869.924,-3.0,-11.0,-7.0,96.0,1.0,1.0,13.0,1002.0,76.0,7.0,97.0,-7.0,-12.0,21.0,-12.0,1,14,3,1,0,0
2016-01-15,2615.1879999999996,-5.0,-16.0,-8.0,92.0,1.0,1.0,20.0,1007.0,305.0,5.0,88.0,-8.0,-16.0,32.0,-16.0,1,15,4,1,0,0
2016-01-16,2112.557,-17.0,-25.0,-20.0,91.0,1.0,1.0,17.0,1021.0,304.0,9.0,94.0,-20.0,-29.0,28.0,-29.0,1,16,5,1,1,0
2016-01-17,1963.1789999999999,-20.0,-27.0,-24.0,93.0,1.0,1.0,14.0,1028.0,293.0,10.0,96.0,-24.0,-34.0,24.0,-34.0,1,17,6,1,1,0
2016-01-18,2197.651,-19.0,-28.0,-24.0,95.0,10.0,1.0,8.0,1032.0,297.0,6.0,72.0,-24.0,-31.0,16.0,-31.0,1,18,0,1,0,0
2016-01-19,2885.357,-15.0,-25.0,-20.0,93.0,5.0,1.0,6.0,1033.0,160.0,5.0,84.0,-20.0,-24.0,11.0,-24.0,1,19,1,1,0,0
2016-01-20,2986.603,-7.0,-15.0,-10.0,95.0,1.0,1.0,11.0,1024.0,173.0,6.0,98.0,-10.0,-16.0,18.0,-16.0,1,20,2,1,0,0
2016-01-21,3049.3489999999993,-5.0,-9.0,-7.0,94.0,1.0,1.0,6.0,1029.0,107.0,6.0,98.0,-7.0,-11.0,11.0,-11.0,1,21,3,1,0,0
2016-01-22,2869.127,-7.0,-13.0,-10.0,96.0,10.0,1.0,8.0,1032.0,81.0,5.0,57.0,-10.0,-14.0,13.0,-14.0,1,22,4,1,0,0
2016-01-23,2272.534,-5.0,-11.0,-8.0,93.0,1.0,1.0,17.0,1020.0,193.0,9.0,81.0,-8.0,-15.0,29.0,-15.0,1,23,5,1,1,0
2016-01-24,2136.9460000000004,-1.0,-9.0,-4.0,96.0,1.0,1.0,9.0,1013.0,172.0,7.0,91.0,-4.0,-8.0,14.0,-8.0,1,24,6,1,1,0
2016-01-25,3015.532,-2.0,-5.0,-3.0,95.0,1.0,1.0,9.0,1011.0,234.0,6.0,95.0,-3.0,-7.0,14.0,-7.0,1,25,0,1,0,0
2016-01-26,3094.8509999999997,-4.0,-8.0,-5.0,90.0,1.0,1.0,16.0,1020.0,299.0,8.0,85.0,-5.0,-11.0,29.0,-11.0,1,26,1,1,0,0
2016-01-27,3055.067,3.0,-10.0,-4.0,89.0,3.0,1.0,21.0,1013.0,237.0,10.0,56.0,-4.0,-10.0,37.0,-10.0,1,27,2,1,0,0
2016-01-28,2973.5159999999996,2.0,-7.0,-2.0,88.0,9.0,1.0,18.0,1011.0,279.0,9.0,66.0,-2.0,-7.0,32.0,-7.0,1,28,3,1,0,0
2016-01-29,2951.2839999999997,1.0,-10.0,-4.0,90.0,4.0,1.0,19.0,1007.0,171.0,10.0,72.0,-4.0,-10.0,32.0,-10.0,1,29,4,1,0,0
2016-01-30,2594.8169999999996,3.0,-2.0,0.0,90.0,6.0,1.0,13.0,1001.0,239.0,8.0,53.0,0.0,-4.0,25.0,-4.0,1,30,5,1,1,0
2016-01-31,2657.467,3.0,-3.0,-0.0,91.0,10.0,2.0,11.0,1006.0,303.0,9.0,31.0,-0.0,-4.0,19.0,-4.0,1,31,6,1,1,0
2016-02-01,3254.9710000000005,0.0,-5.0,-3.0,93.0,10.0,2.0,7.0,1017.0,216.0,8.0,40.0,-3.0,-6.0,15.0,-6.0,2,1,0,1,0,0
2016-02-02,3099.4080000000004,-0.0,-5.0,-3.0,93.0,1.0,1.0,22.0,1015.0,41.0,5.0,96.0,-3.0,-9.0,40.0,-9.0,2,2,1,1,0,0
2016-02-03,3109.3299999999995,-5.0,-12.0,-8.0,90.0,6.0,1.0,22.0,1015.0,295.0,6.0,84.0,-8.0,-16.0,35.0,-16.0,2,3,2,1,0,0
2016-02-04,3012.1769999999997,-4.0,-14.0,-9.0,92.0,1.0,1.0,11.0,1023.0,265.0,8.0,85.0,-9.0,-14.0,17.0,-14.0,2,4,3,1,0,0
2016-02-05,3024.934,-4.0,-14.0,-8.0,89.0,2.0,1.0,13.0,1027.0,212.0,9.0,71.0,-8.0,-14.0,22.0,-14.0,2,5,4,1,0,0
2016-02-06,2542.457,1.0,-8.0,-3.0,92.0,6.0,1.0,19.0,1018.0,212.0,9.0,74.0,-3.0,-9.0,30.0,-9.0,2,6,5,1,1,0
2016-02-07,2422.4629999999997,2.0,-8.0,-1.0,89.0,1.0,1.0,24.0,1006.0,273.0,8.0,80.0,-1.0,-7.0,42.0,-7.0,2,7,6,1,1,0
2016-02-08,3180.508999999999,-9.0,-12.0,-10.0,87.0,1.0,1.0,28.0,1016.0,331.0,4.0,100.0,-10.0,-19.0,45.0,-19.0,2,8,0,1,0,0
2016-02-09,3203.8100000000004,-10.0,-15.0,-13.0,86.0,6.0,1.0,22.0,1023.0,333.0,6.0,76.0,-13.0,-22.0,37.0,-22.0,2,9,1,1,0,0
2016-02-10,3170.0140000000006,-12.0,-17.0,-15.0,89.0,6.0,1.0,8.0,1025.0,133.0,8.0,61.0,-15.0,-21.0,14.0,-21.0,2,10,2,1,0,0
2016-02-11,3106.8020000000006,-9.0,-19.0,-14.0,91.0,9.0,1.0,7.0,1028.0,159.0,7.0,68.0,-14.0,-18.0,13.0,-18.0,2,11,3,1,0,0
2016-02-12,2977.1399999999994,-11.0,-20.0,-15.0,89.0,6.0,1.0,20.0,1033.0,319.0,9.0,67.0,-15.0,-24.0,35.0,-24.0,2,12,4,1,0,0
2016-02-13,2406.9999999999995,-13.0,-22.0,-18.0,87.0,10.0,2.0,9.0,1038.0,195.0,10.0,16.0,-18.0,-23.0,15.0,-23.0,2,13,5,1,1,0
2016-02-14,2364.6299999999997,-7.0,-16.0,-10.0,90.0,1.0,1.0,19.0,1020.0,150.0,7.0,98.0,-10.0,-18.0,30.0,-18.0,2,14,6,1,1,0
2016-02-15,3191.835,0.0,-12.0,-5.0,95.0,1.0,1.0,11.0,1010.0,177.0,9.0,94.0,-5.0,-9.0,17.0,-9.0,2,15,0,1,0,0
2016-02-16,3173.3289999999993,0.0,-6.0,-2.0,92.0,5.0,1.0,13.0,1014.0,228.0,9.0,86.0,-2.0,-6.0,20.0,-6.0,2,16,1,1,0,0
2016-02-17,3315.979,-3.0,-12.0,-7.0,91.0,10.0,1.0,11.0,1025.0,104.0,9.0,46.0,-7.0,-12.0,20.0,-12.0,2,17,2,1,0,0
