date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,470.25000000000006,-2.0,-10.0,-6.0,92.0,5.0,1.0,17.0,1020.0,268.0,10.0,77.0,-6.0,-13.0,30.0,-13.0,1,1,4,1,0,0
2016-01-02,467.50600000000003,-2.0,-10.0,-6.0,90.0,9.0,1.0,17.0,1019.0,268.0,10.0,32.0,-6.0,-12.0,30.0,-12.0,1,2,5,1,1,0
2016-01-03,470.19199999999995,-3.0,-8.0,-5.0,91.0,4.0,1.0,16.0,1027.0,304.0,10.0,69.0,-5.0,-11.0,28.0,-11.0,1,3,6,1,1,0
2016-01-04,656.677,-6.0,-10.0,-8.0,91.0,6.0,1.0,13.0,1032.0,249.0,8.0,65.0,-8.0,-14.0,21.0,-14.0,1,4,0,1,0,0
2016-01-05,665.8000000000001,-3.0,-7.0,-5.0,90.0,7.0,1.0,21.0,1024.0,185.0,9.0,64.0,-5.0,-12.0,36.0,-12.0,1,5,1,1,0,0
2016-01-06,651.4809999999999,-0.0,-6.0,-3.0,94.0,1.0,1.0,12.0,1019.0,171.0,8.0,94.0,-3.0,-7.0,21.0,-7.0,1,6,2,1,0,0
2016-01-07,645.748,0.0,-2.0,-1.0,97.0,1.0,1.0,8.0,1016.0,114.0,3.0,97.0,-1.0,-4.0,14.0,-4.0,1,7,3,1,0,0
2016-01-08,540.6690000000001,0.0,-5.0,-1.0,96.0,1.0,1.0,13.0,1012.0,235.0,4.0,100.0,-1.0,-6.0,21.0,-6.0,1,8,4,1,0,0
2016-01-09,457.60499999999996,-5.0,-22.0,-14.0,91.0,1.0,1.0,18.0,1023.0,324.0,9.0,96.0,-14.0,-23.0,31.0,-23.0,1,9,5,1,1,0
2016-01-10,456.5760000000001,-19.0,-25.0,-23.0,94.0,2.0,1.0,11.0,1025.0,284.0,7.0,78.0,-23.0,-31.0,21.0,-31.0,1,10,6,1,1,0
2016-01-11,601.721,-15.0,-27.0,-21.0,96.0,1.0,1.0,9.0,1016.0,216.0,2.0,86.0,-21.0,-27.0,15.0,-27.0,1,11,0,1,0,0
2016-01-12,645.0910000000001,-17.0,-22.0,-20.0,93.0,1.0,1.0,15.0,1023.0,277.0,10.0,80.0,-20.0,-29.0,27.0,-29.0,1,12,1,1,0,0
2016-01-13,649.686,-6.0,-21.0,-14.0,96.0,1.0,1.0,8.0,1013.0,213.0,5.0,87.0,-14.0,-19.0,15.0,-19.0,1,13,2,1,0,0
2016-01-14,671.9909999999999,-3.0,-11.0,-7.0,96.0,1.0,1.0,13.0,1002.0,76.0,7.0,97.0,-7.0,-12.0,21.0,-12.0,1,14,3,1,0,0
2016-01-15,629.35,-5.0,-16.0,-8.0,92.0,1.0,1.0,20.0,1007.0,305.0,5.0,88.0,-8.0,-16.0,32.0,-16.0,1,15,4,1,0,0
2016-01-16,457.42199999999997,-17.0,-25.0,-20.0,91.0,1.0,1.0,17.0,1021.0,304.0,9.0,94.0,-20.0,-29.0,28.0,-29.0,1,16,5,1,1,0
2016-01-17,449.27500000000003,-20.0,-27.0,-24.0,93.0,1.0,1.0,14.0,1028.0,293.0,10.0,96.0,-24.0,-34.0,24.0,-34.0,1,17,6,1,1,0
2016-01-18,465.755,-19.0,-28.0,-24.0,95.0,10.0,1.0,8.0,1032.0,297.0,6.0,72.0,-24.0,-31.0,16.0,-31.0,1,18,0,1,0,0
2016-01-19,651.933,-15.0,-25.0,-20.0,93.0,5.0,1.0,6.0,1033.0,160.0,5.0,84.0,-20.0,-24.0,11.0,-24.0,1,19,1,1,0,0
2016-01-20,679.191,-7.0,-15.0,-10.0,95.0,1.0,1.0,11.0,1024.0,173.0,6.0,98.0,-10.0,-16.0,18.0,-16.0,1,20,2,1,0,0
2016-01-21,670.8640000000001,-5.0,-9.0,-7.0,94.0,1.0,1.0,6.0,1029.0,107.0,6.0,98.0,-7.0,-11.0,11.0,-11.0,1,21,3,1,0,0
2016-01-22,642.345,-7.0,-13.0,-10.0,96.0,10.0,1.0,8.0,1032.0,81.0,5.0,57.0,-10.0,-14.0,13.0,-14.0,1,22,4,1,0,0
2016-01-23,465.67299999999994,-5.0,-11.0,-8.0,93.0,1.0,1.0,17.0,1020.0,193.0,9.0,81.0,-8.0,-15.0,29.0,-15.0,1,23,5,1,1,0
2016-01-24,456.69499999999994,-1.0,-9.0,-4.0,96.0,1.0,1.0,9.0,1013.0,172.0,7.0,91.0,-4.0,-8.0,14.0,-8.0,1,24,6,1,1,0
2016-01-25,649.1610000000001,-2.0,-5.0,-3.0,95.0,1.0,1.0,9.0,1011.0,234.0,6.0,95.0,-3.0,-7.0,14.0,-7.0,1,25,0,1,0,0
2016-01-26,650.368,-4.0,-8.0,-5.0,90.0,1.0,1.0,16.0,1020.0,299.0,8.0,85.0,-5.0,-11.0,29.0,-11.0,1,26,1,1,0,0
2016-01-27,529.764,3.0,-10.0,-4.0,89.0,3.0,1.0,21.0,1013.0,237.0,10.0,56.0,-4.0,-10.0,37.0,-10.0,1,27,2,1,0,0
2016-01-28,526.3739999999999,2.0,-7.0,-2.0,88.0,9.0,1.0,18.0,1011.0,279.0,9.0,66.0,-2.0,-7.0,32.0,-7.0,1,28,3,1,0,0
2016-01-29,592.9409999999999,1.0,-10.0,-4.0,90.0,4.0,1.0,19.0,1007.0,171.0,10.0,72.0,-4.0,-10.0,32.0,-10.0,1,29,4,1,0,0
2016-01-30,310.37700000000007,3.0,-2.0,0.0,90.0,6.0,1.0,13.0,1001.0,239.0,8.0,53.0,0.0,-4.0,25.0,-4.0,1,30,5,1,1,0
2016-01-31,240.37299999999996,3.0,-3.0,-0.0,91.0,10.0,2.0,11.0,1006.0,303.0,9.0,31.0,-0.0,-4.0,19.0,-4.0,1,31,6,1,1,0
2016-02-01,547.3480000000001,0.0,-5.0,-3.0,93.0,10.0,2.0,7.0,1017.0,216.0,8.0,40.0,-3.0,-6.0,15.0,-6.0,2,1,0,1,0,0
2016-02-02,607.659,-0.0,-5.0,-3.0,93.0,1.0,1.0,22.0,1015.0,41.0,5.0,96.0,-3.0,-9.0,40.0,-9.0,2,2,1,1,0,0
2016-02-03,592.934,-5.0,-12.0,-8.0,90.0,6.0,1.0,22.0,1015.0,295.0,6.0,84.0,-8.0,-16.0,35.0,-16.0,2,3,2,1,0,0
2016-02-04,639.111,-4.0,-14.0,-9.0,92.0,1.0,1.0,11.0,1023.0,265.0,8.0,85.0,-9.0,-14.0,17.0,-14.0,2,4,3,1,0,0
2016-02-05,632.0989999999999,-4.0,-14.0,-8.0,89.0,2.0,1.0,13.0,1027.0,212.0,9.0,71.0,-8.0,-14.0,22.0,-14.0,2,5,4,1,0,0
