date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,692.9,10.0,3.0,7.0,80.0,2.0,2.0,27.0,1012.0,148.0,9.0,78.0,7.0,3.0,44.0,3.0,1,1,4,1,0,0
2016-01-02,661.3,11.0,9.0,10.0,89.0,2.0,3.0,26.0,995.0,179.0,10.0,91.0,10.0,8.0,41.0,8.0,1,2,5,1,1,0
2016-01-03,707.5,11.0,7.0,9.0,81.0,5.0,2.0,26.0,988.0,207.0,10.0,63.0,9.0,6.0,41.0,6.0,1,3,6,1,1,0
2016-01-04,2067.1000000000004,9.0,5.0,7.0,85.0,8.0,2.0,20.0,981.0,223.0,9.0,69.0,7.0,3.0,32.0,3.0,1,4,0,1,0,0
2016-01-05,2046.7000000000003,9.0,6.0,8.0,83.0,8.0,2.0,13.0,983.0,221.0,9.0,78.0,8.0,5.0,19.0,5.0,1,5,1,1,0,0
2016-01-06,1969.8000000000002,9.0,5.0,7.0,85.0,8.0,2.0,15.0,993.0,224.0,10.0,52.0,7.0,4.0,24.0,4.0,1,6,2,1,0,0
2016-01-07,1980.3999999999999,10.0,6.0,8.0,75.0,7.0,2.0,32.0,989.0,252.0,9.0,49.0,8.0,4.0,55.0,4.0,1,7,3,1,0,0
2016-01-08,1783.1000000000001,10.0,6.0,7.0,76.0,7.0,2.0,20.0,997.0,211.0,10.0,40.0,7.0,4.0,32.0,4.0,1,8,4,1,0,0
2016-01-09,919.8999999999997,10.0,7.0,9.0,82.0,1.0,2.0,27.0,986.0,194.0,9.0,82.0,9.0,5.0,42.0,5.0,1,9,5,1,1,0
2016-01-10,610.6999999999999,8.0,5.0,6.0,72.0,7.0,2.0,26.0,983.0,229.0,9.0,46.0,6.0,2.0,42.0,2.0,1,10,6,1,1,0
2016-01-11,1946.1,8.0,4.0,6.0,80.0,4.0,2.0,17.0,983.0,246.0,9.0,61.0,6.0,3.0,25.0,3.0,1,11,0,1,0,0
2016-01-12,1949.8999999999994,8.0,5.0,6.0,74.0,2.0,2.0,36.0,1001.0,292.0,10.0,61.0,6.0,1.0,59.0,1.0,1,12,1,1,0,0
2016-01-13,1948.8999999999999,8.0,4.0,6.0,72.0,4.0,2.0,24.0,1013.0,252.0,9.0,50.0,6.0,1.0,41.0,1.0,1,13,2,1,0,0
2016-01-14,1899.1999999999998,7.0,3.0,5.0,70.0,8.0,2.0,26.0,1010.0,302.0,10.0,22.0,5.0,-0.0,41.0,-0.0,1,14,3,1,0,0
2016-01-15,1595.6000000000001,6.0,3.0,4.0,71.0,8.0,2.0,25.0,1023.0,314.0,10.0,29.0,4.0,-1.0,41.0,-1.0,1,15,4,1,0,0
2016-01-16,828.6000000000003,7.0,-0.0,4.0,75.0,8.0,2.0,12.0,1029.0,242.0,10.0,44.0,4.0,1.0,18.0,1.0,1,16,5,1,1,0
2016-01-17,659.0,7.0,5.0,6.0,90.0,1.0,2.0,16.0,1022.0,139.0,8.0,96.0,6.0,3.0,25.0,3.0,1,17,6,1,1,0
2016-01-18,1927.0999999999997,7.0,3.0,6.0,84.0,1.0,2.0,24.0,1012.0,121.0,10.0,88.0,6.0,2.0,39.0,2.0,1,18,0,1,0,0
2016-01-19,1797.8000000000002,4.0,-2.0,1.0,67.0,8.0,2.0,10.0,1016.0,101.0,10.0,19.0,1.0,-2.0,16.0,-2.0,1,19,1,1,0,0
2016-01-20,1852.1999999999998,4.0,-2.0,0.0,65.0,8.0,2.0,15.0,1019.0,118.0,10.0,5.0,0.0,-4.0,23.0,-4.0,1,20,2,1,0,0
2016-01-21,1938.3,8.0,2.0,6.0,88.0,1.0,2.0,23.0,1017.0,149.0,7.0,96.0,6.0,2.0,38.0,2.0,1,21,3,1,0,0
2016-01-22,1426.8000000000002,12.0,8.0,10.0,89.0,6.0,2.0,30.0,1015.0,216.0,8.0,55.0,10.0,6.0,49.0,6.0,1,22,4,1,0,0
2016-01-23,688.1999999999998,12.0,8.0,10.0,89.0,8.0,2.0,23.0,1026.0,201.0,10.0,54.0,10.0,7.0,37.0,7.0,1,23,5,1,1,0
2016-01-24,624.8000000000001,12.0,11.0,12.0,93.0,1.0,3.0,23.0,1024.0,196.0,8.0,88.0,12.0,9.0,38.0,9.0,1,24,6,1,1,0
2016-01-25,1734.5,12.0,8.0,10.0,88.0,2.0,3.0,28.0,1018.0,203.0,10.0,51.0,10.0,7.0,46.0,7.0,1,25,0,1,0,0
2016-01-26,1852.1000000000004,12.0,8.0,10.0,85.0,1.0,3.0,38.0,1013.0,215.0,8.0,79.0,10.0,6.0,63.0,6.0,1,26,1,1,0,0
