date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,2049.4,10.0,3.0,7.0,80.0,2.0,2.0,27.0,1012.0,148.0,9.0,78.0,7.0,3.0,44.0,3.0,1,1,4,1,0,0
2016-01-02,1585.8999999999999,11.0,9.0,10.0,89.0,2.0,3.0,26.0,995.0,179.0,10.0,91.0,10.0,8.0,41.0,8.0,1,2,5,1,1,0
2016-01-03,1492.9,11.0,7.0,9.0,81.0,5.0,2.0,26.0,988.0,207.0,10.0,63.0,9.0,6.0,41.0,6.0,1,3,6,1,1,0
2016-01-04,2796.0999999999995,9.0,5.0,7.0,85.0,8.0,2.0,20.0,981.0,223.0,9.0,69.0,7.0,3.0,32.0,3.0,1,4,0,1,0,0
2016-01-05,2779.6,9.0,6.0,8.0,83.0,8.0,2.0,13.0,983.0,221.0,9.0,78.0,8.0,5.0,19.0,5.0,1,5,1,1,0,0
2016-01-06,2779.2000000000003,9.0,5.0,7.0,85.0,8.0,2.0,15.0,993.0,224.0,10.0,52.0,7.0,4.0,24.0,4.0,1,6,2,1,0,0
2016-01-07,2826.5000000000005,10.0,6.0,8.0,75.0,7.0,2.0,32.0,989.0,252.0,9.0,49.0,8.0,4.0,55.0,4.0,1,7,3,1,0,0
2016-01-08,2824.9,10.0,6.0,7.0,76.0,7.0,2.0,20.0,997.0,211.0,10.0,40.0,7.0,4.0,32.0,4.0,1,8,4,1,0,0
2016-01-09,1572.8000000000002,10.0,7.0,9.0,82.0,1.0,2.0,27.0,986.0,194.0,9.0,82.0,9.0,5.0,42.0,5.0,1,9,5,1,1,0
2016-01-10,1531.0,8.0,5.0,6.0,72.0,7.0,2.0,26.0,983.0,229.0,9.0,46.0,6.0,2.0,42.0,2.0,1,10,6,1,1,0
2016-01-11,2855.2999999999997,8.0,4.0,6.0,80.0,4.0,2.0,17.0,983.0,246.0,9.0,61.0,6.0,3.0,25.0,3.0,1,11,0,1,0,0
2016-01-12,2831.4000000000005,8.0,5.0,6.0,74.0,2.0,2.0,36.0,1001.0,292.0,10.0,61.0,6.0,1.0,59.0,1.0,1,12,1,1,0,0
2016-01-13,2882.7,8.0,4.0,6.0,72.0,4.0,2.0,24.0,1013.0,252.0,9.0,50.0,6.0,1.0,41.0,1.0,1,13,2,1,0,0
2016-01-14,2890.7999999999997,7.0,3.0,5.0,70.0,8.0,2.0,26.0,1010.0,302.0,10.0,22.0,5.0,-0.0,41.0,-0.0,1,14,3,1,0,0
2016-01-15,2830.8,6.0,3.0,4.0,71.0,8.0,2.0,25.0,1023.0,314.0,10.0,29.0,4.0,-1.0,41.0,-1.0,1,15,4,1,0,0
2016-01-16,1667.1,7.0,-0.0,4.0,75.0,8.0,2.0,12.0,1029.0,242.0,10.0,44.0,4.0,1.0,18.0,1.0,1,16,5,1,1,0
2016-01-17,1525.7,7.0,5.0,6.0,90.0,1.0,2.0,16.0,1022.0,139.0,8.0,96.0,6.0,3.0,25.0,3.0,1,17,6,1,1,0
2016-01-18,3020.2,7.0,3.0,6.0,84.0,1.0,2.0,24.0,1012.0,121.0,10.0,88.0,6.0,2.0,39.0,2.0,1,18,0,1,0,0
2016-01-19,3117.7,4.0,-2.0,1.0,67.0,8.0,2.0,10.0,1016.0,101.0,10.0,19.0,1.0,-2.0,16.0,-2.0,1,19,1,1,0,0
2016-01-20,3202.9000000000005,4.0,-2.0,0.0,65.0,8.0,2.0,15.0,1019.0,118.0,10.0,5.0,0.0,-4.0,23.0,-4.0,1,20,2,1,0,0
2016-01-21,3034.0,8.0,2.0,6.0,88.0,1.0,2.0,23.0,1017.0,149.0,7.0,96.0,6.0,2.0,38.0,2.0,1,21,3,1,0,0
2016-01-22,2804.1999999999994,12.0,8.0,10.0,89.0,6.0,2.0,30.0,1015.0,216.0,8.0,55.0,10.0,6.0,49.0,6.0,1,22,4,1,0,0
2016-01-23,1642.6000000000001,12.0,8.0,10.0,89.0,8.0,2.0,23.0,1026.0,201.0,10.0,54.0,10.0,7.0,37.0,7.0,1,23,5,1,1,0
2016-01-24,1556.4,12.0,11.0,12.0,93.0,1.0,3.0,23.0,1024.0,196.0,8.0,88.0,12.0,9.0,38.0,9.0,1,24,6,1,1,0
2016-01-25,2879.5999999999995,12.0,8.0,10.0,88.0,2.0,3.0,28.0,1018.0,203.0,10.0,51.0,10.0,7.0,46.0,7.0,1,25,0,1,0,0
2016-01-26,2907.2999999999997,12.0,8.0,10.0,85.0,1.0,3.0,38.0,1013.0,215.0,8.0,79.0,10.0,6.0,63.0,6.0,1,26,1,1,0,0
2016-01-27,2879.5,12.0,6.0,10.0,85.0,1.0,3.0,35.0,1008.0,246.0,8.0,83.0,10.0,7.0,59.0,7.0,1,27,2,1,0,0
2016-01-28,2915.2,10.0,6.0,8.0,73.0,7.0,2.0,31.0,1022.0,244.0,9.0,48.0,8.0,4.0,49.0,4.0,1,28,3,1,0,0
2016-01-29,2853.7,11.0,10.0,11.0,89.0,1.0,3.0,42.0,1016.0,236.0,5.0,100.0,11.0,7.0,70.0,7.0,1,29,4,1,0,0
2016-01-30,1616.3999999999999,9.0,6.0,7.0,72.0,9.0,2.0,31.0,1011.0,273.0,10.0,66.0,7.0,3.0,50.0,3.0,1,30,5,1,1,0
2016-01-31,1544.2,12.0,6.0,10.0,87.0,1.0,2.0,34.0,1009.0,249.0,8.0,97.0,10.0,6.0,57.0,6.0,1,31,6,1,1,0
2016-02-01,2865.3,12.0,9.0,11.0,83.0,1.0,3.0,43.0,1015.0,250.0,10.0,90.0,11.0,7.0,72.0,7.0,2,1,0,1,0,0
2016-02-02,2887.1000000000004,9.0,6.0,8.0,69.0,10.0,2.0,35.0,1016.0,272.0,10.0,43.0,8.0,4.0,59.0,4.0,2,2,1,1,0,0
2016-02-03,2836.399999999999,9.0,5.0,7.0,70.0,9.0,2.0,32.0,1024.0,287.0,10.0,36.0,7.0,2.0,50.0,2.0,2,3,2,1,0,0
2016-02-04,2754.2000000000007,12.0,8.0,10.0,91.0,1.0,3.0,28.0,1026.0,259.0,10.0,91.0,10.0,7.0,45.0,7.0,2,4,3,1,0,0
2016-02-05,2760.3000000000006,10.0,9.0,10.0,89.0,1.0,2.0,30.0,1016.0,216.0,9.0,85.0,10.0,6.0,49.0,6.0,2,5,4,1,0,0
2016-02-06,1553.1000000000001,10.0,8.0,9.0,89.0,1.0,2.0,31.0,993.0,208.0,9.0,97.0,9.0,6.0,53.0,6.0,2,6,5,1,1,0
2016-02-07,1522.0000000000005,10.0,6.0,8.0,74.0,4.0,2.0,39.0,989.0,237.0,10.0,74.0,8.0,3.0,63.0,3.0,2,7,6,1,1,0
2016-02-08,2787.4,9.0,7.0,8.0,71.0,1.0,2.0,51.0,986.0,257.0,9.0,76.0,8.0,3.0,90.0,3.0,2,8,0,1,0,0
2016-02-09,2773.4,7.0,5.0,6.0,69.0,10.0,2.0,33.0,989.0,273.0,9.0,64.0,6.0,1.0,52.0,1.0,2,9,1,1,0,0
2016-02-10,2777.9999999999995,9.0,4.0,6.0,77.0,10.0,3.0,22.0,998.0,299.0,10.0,30.0,6.0,2.0,33.0,2.0,2,10,2,1,0,0
2016-02-11,2833.4,8.0,2.0,5.0,76.0,9.0,2.0,12.0,1003.0,215.0,10.0,34.0,5.0,3.0,18.0,3.0,2,11,3,1,0,0
2016-02-12,2711.0,8.0,4.0,6.0,80.0,6.0,2.0,21.0,993.0,114.0,10.0,83.0,6.0,2.0,29.0,2.0,2,12,4,1,0,0
2016-02-13,1579.8999999999996,6.0,4.0,5.0,83.0,1.0,2.0,27.0,986.0,74.0,9.0,99.0,5.0,0.0,41.0,0.0,2,13,5,1,1,0
2016-02-14,1485.9,6.0,3.0,4.0,75.0,10.0,1.0,25.0,999.0,42.0,10.0,53.0,4.0,-0.0,37.0,-0.0,2,14,6,1,1,0
2016-02-15,2858.5000000000005,6.0,-1.0,3.0,66.0,10.0,2.0,19.0,1027.0,19.0,10.0,6.0,3.0,-1.0,29.0,-1.0,2,15,0,1,0,0
2016-02-16,61.610299999999995,8.0,-1.0,4.0,71.0,10.0,2.0,20.0,1031.0,183.0,10.0,21.0,4.0,0.0,30.0,0.0,2,16,1,1,0,0
2016-02-17,2740.7898,8.0,5.0,7.0,86.0,1.0,2.0,22.0,1014.0,248.0,8.0,97.0,7.0,3.0,37.0,3.0,2,17,2,1,0,0
2016-02-18,2855.4,8.0,1.0,5.0,71.0,10.0,1.0,16.0,1015.0,287.0,10.0,21.0,5.0,1.0,24.0,1.0,2,18,3,1,0,0
2016-02-19,2799.2,10.0,4.0,7.0,83.0,3.0,2.0,25.0,1014.0,227.0,9.0,69.0,7.0,3.0,39.0,3.0,2,19,4,1,0,0
2016-02-20,61.03820000000005,11.0,9.0,10.0,90.0,1.0,3.0,39.0,1011.0,260.0,10.0,100.0,10.0,6.0,66.0,6.0,2,20,5,1,1,0
2016-02-21,1410.7612000000001,11.0,11.0,11.0,92.0,1.0,3.0,40.0,1011.0,249.0,9.0,98.0,11.0,7.0,69.0,7.0,2,21,6,1,1,0
2016-02-22,2820.9999999999995,11.0,5.0,8.0,76.0,10.0,2.0,20.0,1011.0,293.0,9.0,49.0,8.0,5.0,30.0,5.0,2,22,0,1,0,0
2016-02-23,2866.9,9.0,3.0,5.0,73.0,10.0,3.0,14.0,1018.0,157.0,10.0,17.0,5.0,2.0,21.0,2.0,2,23,1,1,0,0
2016-02-24,2855.2,7.0,1.0,4.0,65.0,10.0,1.0,13.0,1018.0,101.0,10.0,33.0,4.0,0.0,20.0,0.0,2,24,2,1,0,0
2016-02-25,2859.1,6.0,-0.0,3.0,68.0,7.0,1.0,9.0,1017.0,287.0,10.0,46.0,3.0,1.0,15.0,1.0,2,25,3,1,0,0
2016-02-26,2784.7000000000003,8.0,2.0,5.0,72.0,3.0,1.0,20.0,1008.0,135.0,10.0,75.0,5.0,1.0,31.0,1.0,2,26,4,1,0,0
2016-02-27,1614.2000000000003,6.0,2.0,4.0,73.0,1.0,1.0,25.0,1011.0,62.0,10.0,84.0,4.0,-0.0,39.0,-0.0,2,27,5,1,1,0
2016-02-28,60.88970000000004,7.0,2.0,5.0,71.0,9.0,1.0,24.0,1022.0,48.0,10.0,35.0,5.0,0.0,36.0,0.0,2,28,6,1,1,0
2016-02-29,2905.1101999999996,7.0,-1.0,4.0,77.0,10.0,1.0,15.0,1026.0,145.0,10.0,54.0,4.0,0.0,23.0,0.0,2,29,0,1,0,0
2016-03-01,36.61150000000007,11.0,8.0,9.0,89.0,1.0,2.0,36.0,1011.0,248.0,8.0,87.0,9.0,5.0,59.0,5.0,3,1,1,2,0,0
2016-03-02,5.015999999999999,8.0,6.0,7.0,69.0,10.0,2.0,41.0,1002.0,288.0,10.0,55.0,7.0,2.0,71.0,2.0,3,2,2,2,0,0
2016-03-03,5.015999999999999,9.0,6.0,7.0,76.0,10.0,2.0,28.0,1004.0,269.0,10.0,50.0,7.0,3.0,45.0,3.0,3,3,3,2,0,0
2016-03-04,5.015999999999999,6.0,3.0,5.0,71.0,9.0,1.0,21.0,992.0,235.0,10.0,43.0,5.0,1.0,33.0,1.0,3,4,4,2,0,0
2016-03-05,5.015999999999999,8.0,3.0,5.0,76.0,12.0,2.0,23.0,1003.0,148.0,10.0,47.0,5.0,1.0,35.0,1.0,3,5,5,2,1,0
2016-03-06,5.015999999999999,6.0,2.0,4.0,72.0,4.0,1.0,19.0,1007.0,299.0,10.0,68.0,4.0,0.0,27.0,0.0,3,6,6,2,1,0
2016-03-07,2805.009,8.0,1.0,4.0,70.0,3.0,1.0,17.0,1012.0,271.0,10.0,50.0,4.0,1.0,26.0,1.0,3,7,0,2,0,0
2016-03-08,3109.2999999999997,9.0,0.0,6.0,86.0,1.0,2.0,17.0,1012.0,232.0,8.0,90.0,6.0,3.0,25.0,3.0,3,8,1,2,0,0
2016-03-09,3063.7999999999993,8.0,4.0,6.0,79.0,3.0,2.0,37.0,999.0,286.0,9.0,66.0,6.0,1.0,59.0,1.0,3,9,2,2,0,0
2016-03-10,2842.3999999999996,10.0,4.0,6.0,75.0,12.0,3.0,15.0,1020.0,140.0,10.0,12.0,6.0,4.0,23.0,4.0,3,10,3,2,0,0
2016-03-11,2849.8999999999996,10.0,3.0,7.0,79.0,12.0,3.0,4.0,1027.0,132.0,10.0,14.0,7.0,6.0,6.0,6.0,3,11,4,2,0,0
2016-03-12,1646.6999999999998,10.0,4.0,7.0,82.0,8.0,2.0,5.0,1030.0,219.0,10.0,61.0,7.0,6.0,8.0,6.0,3,12,5,2,1,0
2016-03-13,1513.8,11.0,5.0,8.0,75.0,12.0,3.0,15.0,1034.0,70.0,10.0,19.0,8.0,5.0,23.0,5.0,3,13,6,2,1,0
2016-03-14,2876.9000000000005,10.0,3.0,6.0,75.0,12.0,3.0,27.0,1032.0,62.0,10.0,4.0,6.0,2.0,41.0,2.0,3,14,0,2,0,0
2016-03-15,2814.1999999999994,10.0,3.0,6.0,84.0,5.0,2.0,23.0,1030.0,59.0,10.0,52.0,6.0,3.0,35.0,3.0,3,15,1,2,0,0
2016-03-16,2786.2000000000003,10.0,5.0,7.0,79.0,8.0,2.0,26.0,1030.0,59.0,10.0,52.0,7.0,3.0,41.0,3.0,3,16,2,2,0,0
2016-03-17,2721.7000000000003,10.0,3.0,6.0,76.0,12.0,3.0,20.0,1030.0,55.0,10.0,5.0,6.0,2.0,31.0,2.0,3,17,3,2,0,0
2016-03-18,2787.7000000000003,9.0,2.0,6.0,77.0,12.0,2.0,18.0,1027.0,48.0,10.0,28.0,6.0,2.0,25.0,2.0,3,18,4,2,0,0
2016-03-19,1688.6,8.0,4.0,6.0,79.0,2.0,2.0,23.0,1027.0,58.0,10.0,68.0,6.0,2.0,35.0,2.0,3,19,5,2,1,0
2016-03-20,1532.2000000000003,8.0,3.0,6.0,79.0,10.0,2.0,16.0,1026.0,58.0,10.0,49.0,6.0,3.0,24.0,3.0,3,20,6,2,1,0
2016-03-21,60.33820000000005,11.0,4.0,7.0,74.0,11.0,2.0,11.0,1024.0,262.0,10.0,27.0,7.0,6.0,17.0,6.0,3,21,0,2,0,0
2016-03-22,2734.9611999999997,9.0,3.0,7.0,77.0,8.0,2.0,6.0,1018.0,90.0,10.0,48.0,7.0,6.0,10.0,6.0,3,22,1,2,0,0
2016-03-23,63.176400000000044,9.0,5.0,7.0,76.0,3.0,2.0,12.0,1017.0,226.0,10.0,60.0,7.0,5.0,17.0,5.0,3,23,2,2,0,0
2016-03-24,2589.0224,9.0,7.0,8.0,90.0,1.0,2.0,24.0,1012.0,233.0,10.0,93.0,8.0,5.0,37.0,5.0,3,24,3,2,0,0
