date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,172.7166,5.0,-0.0,2.0,72.0,9.0,2.0,18.0,1018.0,279.0,10.0,13.0,2.0,-2.0,28.0,-2.0,1,1,4,1,0,0
2016-01-02,172.7,4.0,-1.0,1.0,63.0,9.0,2.0,13.0,1018.0,269.0,10.0,4.0,1.0,-2.0,20.0,-2.0,1,2,5,1,1,0
2016-01-03,172.03329999999997,6.0,-1.0,2.0,66.0,9.0,2.0,15.0,1013.0,265.0,10.0,3.0,2.0,-2.0,26.0,-2.0,1,3,6,1,1,0
2016-01-04,393.2334,1.0,-8.0,-3.0,70.0,7.0,1.0,17.0,1019.0,260.0,9.0,61.0,-3.0,-8.0,33.0,-8.0,1,4,0,1,0,0
2016-01-05,512.5835000000001,1.0,-11.0,-5.0,29.0,9.0,2.0,14.0,1035.0,321.0,10.0,0.0,-5.0,-10.0,22.0,-10.0,1,5,1,1,0,0
2016-01-06,438.06680000000006,4.0,-6.0,-2.0,29.0,9.0,2.0,9.0,1034.0,241.0,10.0,5.0,-2.0,-5.0,15.0,-5.0,1,6,2,1,0,0
2016-01-07,355.29990000000004,5.0,-3.0,0.0,52.0,5.0,1.0,4.0,1026.0,273.0,10.0,47.0,0.0,-1.0,8.0,-1.0,1,7,3,1,0,0
2016-01-08,307.0336,5.0,0.0,3.0,76.0,8.0,1.0,12.0,1022.0,50.0,10.0,63.0,3.0,-0.0,20.0,-0.0,1,8,4,1,0,0
2016-01-09,242.31649999999996,9.0,3.0,6.0,95.0,1.0,2.0,14.0,1020.0,69.0,6.0,99.0,6.0,4.0,23.0,4.0,1,9,5,1,1,0
2016-01-10,290.3832,16.0,2.0,11.0,87.0,2.0,3.0,26.0,1002.0,191.0,9.0,71.0,11.0,8.0,51.0,8.0,1,10,6,1,1,0
2016-01-11,414.41670000000005,0.0,-3.0,-1.0,49.0,9.0,2.0,21.0,1015.0,277.0,10.0,0.0,-1.0,-7.0,35.0,-7.0,1,11,0,1,0,0
2016-01-12,369.30019999999996,5.0,-4.0,-0.0,51.0,4.0,1.0,15.0,1011.0,199.0,10.0,37.0,-0.0,-4.0,27.0,-4.0,1,12,1,1,0,0
2016-01-13,351.96659999999997,-3.0,-6.0,-5.0,46.0,9.0,1.0,25.0,1016.0,276.0,10.0,25.0,-5.0,-12.0,41.0,-12.0,1,13,2,1,0,0
2016-01-14,329.7001,2.0,-7.0,-1.0,64.0,7.0,1.0,10.0,1015.0,212.0,10.0,59.0,-1.0,-5.0,20.0,-5.0,1,14,3,1,0,0
2016-01-15,310.3334,9.0,-0.0,4.0,84.0,9.0,1.0,7.0,1010.0,126.0,10.0,53.0,4.0,2.0,14.0,2.0,1,15,4,1,0,0
2016-01-16,177.9002,9.0,2.0,5.0,87.0,8.0,2.0,19.0,1002.0,229.0,9.0,55.0,5.0,1.0,32.0,1.0,1,16,5,1,1,0
2016-01-17,231.3167,2.0,-2.0,0.0,81.0,1.0,1.0,12.0,1010.0,196.0,9.0,60.0,0.0,-3.0,18.0,-3.0,1,17,6,1,1,0
2016-01-18,502.65000000000003,-2.0,-9.0,-5.0,49.0,9.0,2.0,27.0,1013.0,285.0,10.0,22.0,-5.0,-13.0,46.0,-13.0,1,18,0,1,0,0
2016-01-19,487.1000000000001,-4.0,-9.0,-6.0,59.0,10.0,2.0,26.0,1020.0,286.0,10.0,9.0,-6.0,-14.0,47.0,-14.0,1,19,1,1,0,0
2016-01-20,381.71659999999997,1.0,-6.0,-3.0,68.0,5.0,1.0,11.0,1022.0,288.0,10.0,58.0,-3.0,-7.0,23.0,-7.0,1,20,2,1,0,0
2016-01-21,305.4666,1.0,-5.0,-3.0,64.0,10.0,2.0,15.0,1022.0,318.0,10.0,23.0,-3.0,-7.0,24.0,-7.0,1,21,3,1,0,0
2016-01-22,371.7832000000001,-2.0,-6.0,-4.0,53.0,4.0,1.0,12.0,1023.0,137.0,8.0,71.0,-4.0,-8.0,20.0,-8.0,1,22,4,1,0,0
2016-01-23,285.4333,-2.0,-4.0,-3.0,93.0,1.0,1.0,33.0,1006.0,44.0,1.0,99.0,-3.0,-11.0,60.0,-11.0,1,23,5,1,1,0
2016-01-24,199.91660000000002,-2.0,-10.0,-6.0,86.0,10.0,2.0,17.0,1016.0,313.0,9.0,16.0,-6.0,-12.0,30.0,-12.0,1,24,6,1,1,0
2016-01-25,361.6001,-1.0,-11.0,-5.0,86.0,10.0,1.0,8.0,1025.0,230.0,10.0,18.0,-5.0,-8.0,15.0,-8.0,1,25,0,1,0,0
2016-01-26,340.5335999999999,6.0,-3.0,2.0,96.0,1.0,1.0,14.0,1018.0,217.0,8.0,77.0,2.0,-2.0,28.0,-2.0,1,26,1,1,0,0
2016-01-27,323.2168,3.0,-5.0,1.0,93.0,10.0,2.0,14.0,1019.0,294.0,8.0,26.0,1.0,-3.0,27.0,-3.0,1,27,2,1,0,0
2016-01-28,334.38329999999996,2.0,-10.0,-4.0,90.0,10.0,2.0,5.0,1013.0,223.0,8.0,14.0,-4.0,-6.0,11.0,-6.0,1,28,3,1,0,0
2016-01-29,376.56690000000003,2.0,-7.0,-3.0,90.0,6.0,1.0,15.0,1003.0,282.0,9.0,36.0,-3.0,-7.0,28.0,-7.0,1,29,4,1,0,0
2016-01-30,287.1667,1.0,-7.0,-3.0,87.0,10.0,2.0,12.0,1017.0,237.0,10.0,8.0,-3.0,-7.0,22.0,-7.0,1,30,5,1,1,0
2016-01-31,205.5166,6.0,-1.0,3.0,97.0,4.0,1.0,11.0,1013.0,220.0,8.0,58.0,3.0,-0.0,22.0,-0.0,1,31,6,1,1,0
2016-02-01,318.5333,9.0,2.0,6.0,95.0,4.0,2.0,13.0,1012.0,246.0,10.0,73.0,6.0,3.0,27.0,3.0,2,1,0,1,0,0
2016-02-02,354.4001,8.0,-1.0,3.0,89.0,10.0,2.0,9.0,1026.0,219.0,9.0,5.0,3.0,1.0,18.0,1.0,2,2,1,1,0,0
2016-02-03,362.2499,14.0,2.0,10.0,94.0,1.0,2.0,19.0,1017.0,164.0,7.0,84.0,10.0,7.0,38.0,7.0,2,3,2,1,0,0
2016-02-04,355.2335,14.0,6.0,10.0,84.0,10.0,2.0,13.0,1016.0,252.0,8.0,72.0,10.0,8.0,22.0,8.0,2,4,3,1,0,0
2016-02-05,317.6833,6.0,-2.0,1.0,88.0,8.0,1.0,16.0,1022.0,212.0,7.0,49.0,1.0,-3.0,30.0,-3.0,2,5,4,1,0,0
2016-02-06,221.51670000000004,3.0,-4.0,-1.0,78.0,8.0,1.0,9.0,1028.0,233.0,10.0,43.0,-1.0,-4.0,18.0,-4.0,2,6,5,1,1,0
2016-02-07,189.5168,6.0,-3.0,2.0,81.0,9.0,1.0,8.0,1020.0,138.0,10.0,20.0,2.0,-0.0,15.0,-0.0,2,7,6,1,1,0
2016-02-08,429.04999999999995,2.0,-2.0,1.0,84.0,1.0,1.0,17.0,1008.0,53.0,9.0,85.0,1.0,-4.0,30.0,-4.0,2,8,0,1,0,0
2016-02-09,378.36699999999996,1.0,-3.0,-1.0,91.0,1.0,1.0,9.0,1004.0,87.0,5.0,100.0,-1.0,-4.0,17.0,-4.0,2,9,1,1,0,0
2016-02-10,379.81679999999994,1.0,-4.0,-1.0,87.0,9.0,1.0,19.0,1006.0,269.0,5.0,64.0,-1.0,-6.0,32.0,-6.0,2,10,2,1,0,0
2016-02-11,477.84979999999996,-4.0,-8.0,-6.0,75.0,4.0,1.0,24.0,1016.0,283.0,7.0,57.0,-6.0,-14.0,46.0,-14.0,2,11,3,1,0,0
2016-02-12,427.0834999999999,-4.0,-11.0,-7.0,59.0,4.0,1.0,13.0,1021.0,263.0,10.0,58.0,-7.0,-13.0,21.0,-13.0,2,12,4,1,0,0
2016-02-13,240.55019999999996,-7.0,-14.0,-10.0,59.0,2.0,1.0,25.0,1020.0,297.0,5.0,82.0,-10.0,-18.0,44.0,-18.0,2,13,5,1,1,0
2016-02-14,266.2167,-8.0,-16.0,-12.0,48.0,11.0,1.0,14.0,1033.0,296.0,10.0,30.0,-12.0,-19.0,25.0,-19.0,2,14,6,1,1,0
2016-02-15,446.3167000000001,3.0,-10.0,-4.0,74.0,1.0,1.0,9.0,1029.0,102.0,8.0,84.0,-4.0,-7.0,15.0,-7.0,2,15,0,1,0,0
2016-02-16,447.9334,13.0,0.0,7.0,93.0,2.0,2.0,24.0,1007.0,209.0,9.0,74.0,7.0,3.0,52.0,3.0,2,16,1,1,0,0
2016-02-17,400.48329999999993,5.0,-2.0,1.0,86.0,8.0,1.0,13.0,1018.0,281.0,9.0,49.0,1.0,-3.0,26.0,-3.0,2,17,2,1,0,0
2016-02-18,372.0166,1.0,-4.0,-2.0,71.0,11.0,2.0,16.0,1031.0,336.0,10.0,5.0,-2.0,-7.0,26.0,-7.0,2,18,3,1,0,0
2016-02-19,355.0831,4.0,-4.0,-0.0,57.0,4.0,1.0,12.0,1031.0,182.0,10.0,51.0,-0.0,-4.0,19.0,-4.0,2,19,4,1,0,0
2016-02-20,279.5503,14.0,2.0,8.0,80.0,10.0,2.0,19.0,1015.0,223.0,10.0,39.0,8.0,5.0,36.0,5.0,2,20,5,1,1,0
2016-02-21,233.4831,12.0,3.0,8.0,84.0,10.0,2.0,11.0,1014.0,192.0,10.0,57.0,8.0,6.0,19.0,6.0,2,21,6,1,1,0
2016-02-22,393.34979999999996,11.0,0.0,5.0,75.0,11.0,2.0,9.0,1021.0,139.0,10.0,25.0,5.0,3.0,16.0,3.0,2,22,0,1,0,0
2016-02-23,352.1333,5.0,1.0,3.0,87.0,1.0,1.0,22.0,1023.0,60.0,8.0,85.0,3.0,-2.0,37.0,-2.0,2,23,1,1,0,0
2016-02-24,349.10009999999994,17.0,4.0,10.0,95.0,1.0,3.0,25.0,1007.0,113.0,8.0,98.0,10.0,8.0,52.0,8.0,2,24,2,1,0,0
2016-02-25,351.3502000000001,15.0,2.0,8.0,79.0,2.0,2.0,27.0,995.0,242.0,9.0,72.0,8.0,4.0,49.0,4.0,2,25,3,1,0,0
2016-02-26,319.00000000000006,3.0,-2.0,0.0,58.0,11.0,2.0,22.0,1013.0,305.0,9.0,15.0,0.0,-5.0,39.0,-5.0,2,26,4,1,0,0
2016-02-27,222.4999,4.0,-2.0,0.0,57.0,11.0,1.0,14.0,1019.0,252.0,10.0,30.0,0.0,-3.0,22.0,-3.0,2,27,5,1,1,0
2016-02-28,223.76669999999996,14.0,1.0,7.0,75.0,11.0,3.0,19.0,1014.0,225.0,10.0,11.0,7.0,3.0,35.0,3.0,2,28,6,1,1,0
2016-02-29,351.31640000000004,13.0,6.0,10.0,78.0,10.0,2.0,22.0,1008.0,244.0,9.0,17.0,10.0,7.0,41.0,7.0,2,29,0,1,0,0
2016-03-01,367.96700000000004,11.0,3.0,7.0,77.0,11.0,3.0,17.0,1016.0,142.0,10.0,23.0,7.0,4.0,29.0,4.0,3,1,1,2,0,0
2016-03-02,317.8668,13.0,-1.0,5.0,67.0,11.0,1.0,26.0,1009.0,284.0,9.0,32.0,5.0,0.0,48.0,0.0,3,2,2,2,0,0
2016-03-03,349.64990000000006,3.0,-2.0,-0.0,44.0,7.0,1.0,9.0,1024.0,264.0,10.0,51.0,-0.0,-3.0,14.0,-3.0,3,3,3,2,0,0
2016-03-04,396.75000000000006,2.0,-1.0,-0.0,81.0,6.0,1.0,16.0,1019.0,94.0,6.0,57.0,-0.0,-4.0,25.0,-4.0,3,4,4,2,0,0
2016-03-05,280.41659999999996,5.0,-3.0,1.0,62.0,8.0,1.0,8.0,1022.0,233.0,10.0,33.0,1.0,-2.0,14.0,-2.0,3,5,5,2,1,0
2016-03-06,196.23329999999999,7.0,-2.0,2.0,60.0,11.0,2.0,7.0,1025.0,183.0,10.0,35.0,2.0,0.0,12.0,0.0,3,6,6,2,1,0
2016-03-07,353.2168,13.0,0.0,6.0,79.0,11.0,3.0,16.0,1022.0,222.0,10.0,23.0,6.0,4.0,29.0,4.0,3,7,0,2,0,0
2016-03-08,365.98339999999996,20.0,6.0,13.0,76.0,11.0,4.0,8.0,1020.0,235.0,10.0,32.0,13.0,12.0,15.0,12.0,3,8,1,2,0,0
2016-03-09,343.28340000000003,23.0,8.0,15.0,70.0,11.0,5.0,11.0,1019.0,195.0,10.0,13.0,16.0,15.0,21.0,15.0,3,9,2,2,0,0
2016-03-10,317.6332,24.0,13.0,18.0,78.0,11.0,4.0,13.0,1015.0,245.0,10.0,44.0,19.0,18.0,25.0,18.0,3,10,3,2,0,0
2016-03-11,322.03329999999994,17.0,7.0,14.0,73.0,12.0,3.0,15.0,1021.0,323.0,10.0,33.0,14.0,13.0,26.0,13.0,3,11,4,2,0,0
2016-03-12,173.15000000000003,15.0,4.0,9.0,70.0,11.0,2.0,11.0,1024.0,186.0,10.0,20.0,9.0,8.0,17.0,8.0,3,12,5,2,1,0
2016-03-13,165.85010000000003,14.0,9.0,11.0,80.0,3.0,3.0,10.0,1018.0,174.0,9.0,69.0,11.0,10.0,18.0,10.0,3,13,6,2,1,0
2016-03-14,324.59999999999997,9.0,6.0,7.0,87.0,1.0,2.0,23.0,1016.0,67.0,8.0,98.0,7.0,3.0,41.0,3.0,3,14,0,2,0,0
2016-03-15,325.45009999999996,13.0,7.0,9.0,88.0,6.0,2.0,14.0,1010.0,168.0,10.0,76.0,9.0,7.0,22.0,7.0,3,15,1,2,0,0
2016-03-16,291.31669999999997,18.0,8.0,12.0,84.0,10.0,3.0,10.0,1010.0,196.0,9.0,38.0,12.0,11.0,17.0,11.0,3,16,2,2,0,0
2016-03-17,313.75010000000003,16.0,6.0,10.0,72.0,11.0,3.0,12.0,1011.0,233.0,7.0,29.0,10.0,9.0,24.0,9.0,3,17,3,2,0,0
2016-03-18,296.2333,13.0,4.0,9.0,63.0,12.0,2.0,19.0,1012.0,256.0,10.0,25.0,9.0,6.0,37.0,6.0,3,18,4,2,0,0
2016-03-19,194.6833,6.0,1.0,4.0,57.0,9.0,1.0,9.0,1019.0,239.0,9.0,47.0,4.0,2.0,14.0,2.0,3,19,5,2,1,0
2016-03-20,206.74989999999997,3.0,0.0,2.0,63.0,5.0,1.0,17.0,1018.0,65.0,6.0,69.0,2.0,-3.0,26.0,-3.0,3,20,6,2,1,0
2016-03-21,404.6169000000001,7.0,0.0,3.0,67.0,12.0,2.0,17.0,1013.0,298.0,9.0,26.0,3.0,-1.0,31.0,-1.0,3,21,0,2,0,0
2016-03-22,385.9834999999999,11.0,-0.0,6.0,62.0,13.0,3.0,17.0,1020.0,233.0,10.0,18.0,6.0,2.0,29.0,2.0,3,22,1,2,0,0
