date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,1498.9332999999997,5.0,-0.0,2.0,72.0,9.0,2.0,18.0,1018.0,279.0,10.0,13.0,2.0,-2.0,28.0,-2.0,1,1,4,1,0,0
2016-01-02,1254.2499,4.0,-1.0,1.0,63.0,9.0,2.0,13.0,1018.0,269.0,10.0,4.0,1.0,-2.0,20.0,-2.0,1,2,5,1,1,0
2016-01-03,1291.1833000000001,6.0,-1.0,2.0,66.0,9.0,2.0,15.0,1013.0,265.0,10.0,3.0,2.0,-2.0,26.0,-2.0,1,3,6,1,1,0
2016-01-04,2416.7999,1.0,-8.0,-3.0,70.0,7.0,1.0,17.0,1019.0,260.0,9.0,61.0,-3.0,-8.0,33.0,-8.0,1,4,0,1,0,0
2016-01-05,2740.2167999999997,1.0,-11.0,-5.0,29.0,9.0,2.0,14.0,1035.0,321.0,10.0,0.0,-5.0,-10.0,22.0,-10.0,1,5,1,1,0,0
2016-01-06,2597.0166,4.0,-6.0,-2.0,29.0,9.0,2.0,9.0,1034.0,241.0,10.0,5.0,-2.0,-5.0,15.0,-5.0,1,6,2,1,0,0
2016-01-07,2410.5166999999997,5.0,-3.0,0.0,52.0,5.0,1.0,4.0,1026.0,273.0,10.0,47.0,0.0,-1.0,8.0,-1.0,1,7,3,1,0,0
2016-01-08,2237.3666,5.0,0.0,3.0,76.0,8.0,1.0,12.0,1022.0,50.0,10.0,63.0,3.0,-0.0,20.0,-0.0,1,8,4,1,0,0
2016-01-09,1397.3666999999998,9.0,3.0,6.0,95.0,1.0,2.0,14.0,1020.0,69.0,6.0,99.0,6.0,4.0,23.0,4.0,1,9,5,1,1,0
2016-01-10,1216.7666,16.0,2.0,11.0,87.0,2.0,3.0,26.0,1002.0,191.0,9.0,71.0,11.0,8.0,51.0,8.0,1,10,6,1,1,0
2016-01-11,2459.0335,0.0,-3.0,-1.0,49.0,9.0,2.0,21.0,1015.0,277.0,10.0,0.0,-1.0,-7.0,35.0,-7.0,1,11,0,1,0,0
2016-01-12,2496.3334,5.0,-4.0,-0.0,51.0,4.0,1.0,15.0,1011.0,199.0,10.0,37.0,-0.0,-4.0,27.0,-4.0,1,12,1,1,0,0
2016-01-13,2680.4997999999996,-3.0,-6.0,-5.0,46.0,9.0,1.0,25.0,1016.0,276.0,10.0,25.0,-5.0,-12.0,41.0,-12.0,1,13,2,1,0,0
2016-01-14,2471.6833,2.0,-7.0,-1.0,64.0,7.0,1.0,10.0,1015.0,212.0,10.0,59.0,-1.0,-5.0,20.0,-5.0,1,14,3,1,0,0
2016-01-15,2245.5665999999997,9.0,-0.0,4.0,84.0,9.0,1.0,7.0,1010.0,126.0,10.0,53.0,4.0,2.0,14.0,2.0,1,15,4,1,0,0
2016-01-16,1316.2334,9.0,2.0,5.0,87.0,8.0,2.0,19.0,1002.0,229.0,9.0,55.0,5.0,1.0,32.0,1.0,1,16,5,1,1,0
2016-01-17,1516.4500999999998,2.0,-2.0,0.0,81.0,1.0,1.0,12.0,1010.0,196.0,9.0,60.0,0.0,-3.0,18.0,-3.0,1,17,6,1,1,0
2016-01-18,2721.5998000000004,-2.0,-9.0,-5.0,49.0,9.0,2.0,27.0,1013.0,285.0,10.0,22.0,-5.0,-13.0,46.0,-13.0,1,18,0,1,0,0
2016-01-19,2831.4167,-4.0,-9.0,-6.0,59.0,10.0,2.0,26.0,1020.0,286.0,10.0,9.0,-6.0,-14.0,47.0,-14.0,1,19,1,1,0,0
2016-01-20,2610.6830999999997,1.0,-6.0,-3.0,68.0,5.0,1.0,11.0,1022.0,288.0,10.0,58.0,-3.0,-7.0,23.0,-7.0,1,20,2,1,0,0
2016-01-21,2441.9664999999995,1.0,-5.0,-3.0,64.0,10.0,2.0,15.0,1022.0,318.0,10.0,23.0,-3.0,-7.0,24.0,-7.0,1,21,3,1,0,0
2016-01-22,2570.3333,-2.0,-6.0,-4.0,53.0,4.0,1.0,12.0,1023.0,137.0,8.0,71.0,-4.0,-8.0,20.0,-8.0,1,22,4,1,0,0
