date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,319.20000000000005,8.0,2.0,5.0,84.0,1.0,2.0,20.0,1017.0,157.0,7.0,61.0,5.0,2.0,35.0,2.0,1,1,4,1,0,0
2016-01-02,331.7,10.0,8.0,9.0,88.0,1.0,2.0,27.0,999.0,174.0,8.0,99.0,9.0,6.0,48.0,6.0,1,2,5,1,1,0
2016-01-03,330.7,9.0,6.0,8.0,88.0,1.0,2.0,23.0,992.0,204.0,8.0,61.0,8.0,4.0,42.0,4.0,1,3,6,1,1,0
2016-01-04,378.99999999999994,7.0,4.0,6.0,88.0,7.0,2.0,16.0,984.0,234.0,9.0,56.0,6.0,2.0,28.0,2.0,1,4,0,1,0,0
2016-01-05,391.20000000000005,10.0,5.0,7.0,90.0,8.0,2.0,12.0,985.0,196.0,10.0,42.0,7.0,5.0,21.0,5.0,1,5,1,1,0,0
2016-01-06,435.80000000000007,8.0,4.0,5.0,94.0,8.0,2.0,7.0,994.0,193.0,5.0,50.0,5.0,4.0,13.0,4.0,1,6,2,1,0,0
2016-01-07,425.9,10.0,3.0,7.0,83.0,5.0,2.0,28.0,989.0,224.0,9.0,56.0,7.0,2.0,50.0,2.0,1,7,3,1,0,0
2016-01-08,456.0,9.0,3.0,6.0,86.0,7.0,2.0,18.0,999.0,199.0,9.0,36.0,6.0,2.0,32.0,2.0,1,8,4,1,0,0
2016-01-09,328.9,10.0,6.0,8.0,88.0,1.0,2.0,26.0,991.0,180.0,9.0,77.0,8.0,5.0,43.0,5.0,1,9,5,1,1,0
2016-01-10,342.90000000000003,8.0,5.0,6.0,78.0,8.0,3.0,23.0,985.0,208.0,10.0,18.0,6.0,2.0,40.0,2.0,1,10,6,1,1,0
2016-01-11,408.9,7.0,3.0,5.0,89.0,8.0,2.0,18.0,983.0,227.0,9.0,76.0,5.0,2.0,30.0,2.0,1,11,0,1,0,0
2016-01-12,399.69999999999993,7.0,3.0,5.0,83.0,3.0,1.0,28.0,997.0,270.0,10.0,59.0,5.0,0.0,47.0,0.0,1,12,1,1,0,0
2016-01-13,459.69999999999993,6.0,3.0,4.0,81.0,8.0,1.0,21.0,1013.0,242.0,9.0,45.0,4.0,0.0,36.0,0.0,1,13,2,1,0,0
2016-01-14,502.7999999999999,5.0,2.0,3.0,78.0,7.0,1.0,28.0,1006.0,273.0,9.0,36.0,3.0,-2.0,47.0,-2.0,1,14,3,1,0,0
2016-01-15,420.0,4.0,1.0,2.0,78.0,8.0,2.0,23.0,1019.0,301.0,10.0,8.0,2.0,-4.0,40.0,-4.0,1,15,4,1,0,0
2016-01-16,309.6,4.0,0.0,1.0,82.0,9.0,1.0,13.0,1028.0,295.0,10.0,34.0,1.0,-2.0,22.0,-2.0,1,16,5,1,1,0
2016-01-17,323.00000000000006,4.0,1.0,2.0,86.0,1.0,1.0,13.0,1025.0,113.0,9.0,92.0,2.0,-1.0,21.0,-1.0,1,17,6,1,1,0
2016-01-18,473.00000000000006,4.0,-1.0,2.0,81.0,4.0,1.0,17.0,1015.0,129.0,9.0,65.0,2.0,-2.0,28.0,-2.0,1,18,0,1,0,0
2016-01-19,488.3000000000001,4.0,-2.0,1.0,68.0,9.0,2.0,4.0,1017.0,231.0,10.0,14.0,1.0,-0.0,7.0,-0.0,1,19,1,1,0,0
2016-01-20,412.3,4.0,-1.0,1.0,84.0,9.0,2.0,4.0,1020.0,213.0,10.0,4.0,1.0,1.0,8.0,1.0,1,20,2,1,0,0
2016-01-21,462.0,6.0,-1.0,2.0,83.0,5.0,1.0,17.0,1022.0,152.0,10.0,37.0,2.0,-2.0,29.0,-2.0,1,21,3,1,0,0
2016-01-22,513.3000000000001,10.0,2.0,6.0,86.0,1.0,2.0,24.0,1018.0,195.0,9.0,59.0,6.0,2.0,42.0,2.0,1,22,4,1,0,0
2016-01-23,342.2,10.0,4.0,7.0,90.0,9.0,2.0,19.0,1028.0,211.0,10.0,47.0,7.0,4.0,33.0,4.0,1,23,5,1,1,0
2016-01-24,344.4000000000001,13.0,9.0,12.0,94.0,1.0,3.0,23.0,1026.0,207.0,10.0,88.0,12.0,9.0,37.0,9.0,1,24,6,1,1,0
2016-01-25,492.6,13.0,8.0,11.0,86.0,7.0,3.0,26.0,1021.0,200.0,10.0,36.0,11.0,8.0,43.0,8.0,1,25,0,1,0,0
2016-01-26,580.1,12.0,6.0,9.0,86.0,4.0,2.0,32.0,1017.0,212.0,7.0,64.0,9.0,5.0,57.0,5.0,1,26,1,1,0,0
2016-01-27,581.5999999999999,13.0,7.0,11.0,86.0,1.0,3.0,34.0,1009.0,232.0,9.0,96.0,11.0,8.0,60.0,8.0,1,27,2,1,0,0
2016-01-28,582.5999999999999,8.0,2.0,6.0,78.0,9.0,3.0,23.0,1023.0,238.0,10.0,21.0,6.0,2.0,38.0,2.0,1,28,3,1,0,0
2016-01-29,552.8,11.0,9.0,11.0,83.0,1.0,3.0,38.0,1017.0,228.0,10.0,99.0,11.0,7.0,64.0,7.0,1,29,4,1,0,0
2016-01-30,376.9,11.0,4.0,7.0,77.0,8.0,2.0,28.0,1010.0,257.0,10.0,55.0,7.0,3.0,48.0,3.0,1,30,5,1,1,0
2016-01-31,379.8,13.0,3.0,8.0,88.0,1.0,2.0,25.0,1009.0,235.0,10.0,85.0,8.0,5.0,42.0,5.0,1,31,6,1,1,0
