date,usage_value,maxtempC,mintempC,avgtempC,humidity,sunHour,uvIndex,windspeedKmph,pressure,winddirDegree,visibility,cloudcover,HeatIndexC,WindChillC,WindGustKmph,FeelsLikeC,month,month_day,week_day,season,is_weekend,is_holiday
2016-01-01,2138.485,7.0,4.0,6.0,90.0,8.0,2.0,15.0,1022.0,182.0,9.0,60.0,6.0,3.0,24.0,3.0,1,1,4,1,0,0
2016-01-02,470.40500000000003,5.0,3.0,4.0,84.0,1.0,1.0,29.0,1012.0,119.0,9.0,97.0,4.0,-1.0,47.0,-1.0,1,2,5,1,1,0
2016-01-03,3190.8025000000007,4.0,1.0,2.0,91.0,1.0,1.0,30.0,1002.0,124.0,7.0,100.0,2.0,-3.0,50.0,-3.0,1,3,6,1,1,0
2016-01-04,2915.950000000001,3.0,-1.0,1.0,87.0,8.0,1.0,25.0,992.0,219.0,9.0,79.0,1.0,-5.0,41.0,-5.0,1,4,0,1,0,0
2016-01-05,1329.5949999999998,0.0,-4.0,-2.0,94.0,1.0,1.0,24.0,994.0,114.0,10.0,95.0,-2.0,-8.0,38.0,-8.0,1,5,1,1,0,0
2016-01-06,2423.7225,-2.0,-4.0,-3.0,95.0,1.0,1.0,22.0,1000.0,96.0,6.0,100.0,-3.0,-9.0,36.0,-9.0,1,6,2,1,0,0
2016-01-07,2066.065,6.0,-2.0,2.0,95.0,1.0,1.0,28.0,992.0,141.0,9.0,100.0,2.0,-4.0,46.0,-4.0,1,7,3,1,0,0
2016-01-08,1426.68,7.0,3.0,6.0,79.0,8.0,3.0,30.0,997.0,241.0,10.0,31.0,6.0,1.0,50.0,1.0,1,8,4,1,0,0
2016-01-09,2437.1075000000005,6.0,3.0,4.0,92.0,1.0,1.0,21.0,998.0,182.0,10.0,83.0,4.0,0.0,34.0,0.0,1,9,5,1,1,0
2016-01-10,1983.1325000000002,7.0,4.0,6.0,88.0,8.0,2.0,26.0,989.0,191.0,10.0,79.0,6.0,1.0,41.0,1.0,1,10,6,1,1,0
2016-01-11,3050.687499999999,5.0,3.0,4.0,93.0,4.0,1.0,19.0,986.0,172.0,10.0,81.0,4.0,0.0,29.0,0.0,1,11,0,1,0,0
2016-01-12,3241.3025000000002,6.0,5.0,6.0,85.0,1.0,2.0,23.0,990.0,232.0,10.0,88.0,6.0,2.0,37.0,2.0,1,12,1,1,0,0
2016-01-13,3057.1999999999994,6.0,4.0,5.0,83.0,4.0,1.0,17.0,1007.0,276.0,9.0,70.0,5.0,1.0,30.0,1.0,1,13,2,1,0,0
2016-01-14,3067.325,3.0,1.0,2.0,91.0,4.0,1.0,22.0,1002.0,167.0,9.0,73.0,2.0,-3.0,34.0,-3.0,1,14,3,1,0,0
2016-01-15,3116.81,3.0,0.0,2.0,90.0,3.0,1.0,13.0,1009.0,40.0,7.0,74.0,2.0,-1.0,22.0,-1.0,1,15,4,1,0,0
2016-01-16,2185.015,3.0,-0.0,2.0,80.0,8.0,1.0,20.0,1019.0,226.0,7.0,62.0,2.0,-3.0,34.0,-3.0,1,16,5,1,1,0
2016-01-17,1882.1525,1.0,-1.0,-0.0,79.0,8.0,1.0,12.0,1025.0,99.0,8.0,38.0,-0.0,-4.0,23.0,-4.0,1,17,6,1,1,0
2016-01-18,3127.3349999999996,-2.0,-4.0,-3.0,84.0,7.0,1.0,13.0,1020.0,181.0,10.0,46.0,-3.0,-7.0,20.0,-7.0,1,18,0,1,0,0
2016-01-19,2970.8075000000003,3.0,-4.0,-1.0,84.0,4.0,1.0,14.0,1015.0,239.0,10.0,62.0,-1.0,-5.0,22.0,-5.0,1,19,1,1,0,0
2016-01-20,2963.0375000000004,3.0,-0.0,2.0,85.0,1.0,1.0,13.0,1017.0,242.0,8.0,86.0,2.0,-1.0,20.0,-1.0,1,20,2,1,0,0
2016-01-21,2953.5000000000005,-1.0,-3.0,-2.0,89.0,8.0,2.0,14.0,1025.0,157.0,10.0,18.0,-2.0,-7.0,22.0,-7.0,1,21,3,1,0,0
2016-01-22,2772.1674999999996,3.0,-2.0,-0.0,89.0,8.0,1.0,21.0,1023.0,163.0,10.0,60.0,-0.0,-6.0,34.0,-6.0,1,22,4,1,0,0
2016-01-23,2162.4175000000005,7.0,4.0,5.0,95.0,8.0,2.0,18.0,1027.0,245.0,10.0,53.0,5.0,2.0,31.0,2.0,1,23,5,1,1,0
2016-01-24,1668.91,10.0,4.0,6.0,96.0,1.0,2.0,22.0,1027.0,210.0,6.0,98.0,6.0,2.0,36.0,2.0,1,24,6,1,1,0
2016-01-25,3031.5274999999997,11.0,9.0,10.0,91.0,8.0,2.0,23.0,1022.0,213.0,10.0,61.0,10.0,7.0,39.0,7.0,1,25,0,1,0,0
2016-01-26,3099.3175,10.0,7.0,8.0,87.0,5.0,2.0,31.0,1017.0,224.0,9.0,71.0,8.0,5.0,52.0,5.0,1,26,1,1,0,0
2016-01-27,888.09,11.0,9.0,10.0,88.0,1.0,3.0,39.0,1008.0,229.0,4.0,98.0,10.0,7.0,68.0,7.0,1,27,2,1,0,0
2016-01-28,550.7400000000001,8.0,5.0,6.0,76.0,9.0,2.0,26.0,1019.0,255.0,10.0,35.0,6.0,2.0,43.0,2.0,1,28,3,1,0,0
2016-01-29,547.6,10.0,6.0,9.0,85.0,1.0,2.0,40.0,1015.0,228.0,6.0,97.0,9.0,4.0,68.0,4.0,1,29,4,1,0,0
2016-01-30,897.1925,10.0,4.0,7.0,81.0,5.0,2.0,35.0,1005.0,249.0,7.0,74.0,7.0,2.0,60.0,2.0,1,30,5,1,1,0
2016-01-31,977.27,6.0,4.0,5.0,81.0,5.0,1.0,24.0,1006.0,249.0,6.0,79.0,5.0,1.0,41.0,1.0,1,31,6,1,1,0
2016-02-01,1691.8250000000003,11.0,6.0,9.0,89.0,1.0,2.0,34.0,1010.0,243.0,8.0,95.0,9.0,6.0,57.0,6.0,2,1,0,1,0,0
2016-02-02,529.9525,9.0,6.0,8.0,72.0,6.0,2.0,40.0,1008.0,253.0,10.0,69.0,8.0,3.0,66.0,3.0,2,2,1,1,0,0
2016-02-03,3344.0925,6.0,4.0,5.0,73.0,2.0,2.0,27.0,1014.0,276.0,10.0,61.0,5.0,1.0,45.0,1.0,2,3,2,1,0,0
2016-02-04,2027.18,6.0,4.0,5.0,84.0,1.0,1.0,17.0,1020.0,278.0,8.0,83.0,5.0,1.0,27.0,1.0,2,4,3,1,0,0
2016-02-05,1392.555,9.0,4.0,7.0,93.0,1.0,2.0,23.0,1019.0,218.0,10.0,98.0,7.0,3.0,35.0,3.0,2,5,4,1,0,0
2016-02-06,2402.3849999999998,9.0,8.0,9.0,86.0,1.0,2.0,28.0,1006.0,191.0,10.0,71.0,9.0,5.0,47.0,5.0,2,6,5,1,1,0
2016-02-07,1356.4274999999998,9.0,6.0,8.0,77.0,5.0,2.0,33.0,995.0,203.0,9.0,57.0,8.0,4.0,56.0,4.0,2,7,6,1,1,0
2016-02-08,2199.4174999999996,9.0,6.0,8.0,80.0,2.0,2.0,43.0,985.0,218.0,6.0,90.0,8.0,3.0,76.0,3.0,2,8,0,1,0,0
2016-02-09,2426.7925,7.0,4.0,6.0,80.0,1.0,2.0,26.0,985.0,272.0,8.0,89.0,6.0,2.0,44.0,2.0,2,9,1,1,0,0
2016-02-10,1411.7425000000003,7.0,3.0,5.0,83.0,1.0,1.0,24.0,990.0,259.0,8.0,68.0,5.0,0.0,39.0,0.0,2,10,2,1,0,0
2016-02-11,3122.5425000000005,6.0,3.0,4.0,80.0,9.0,1.0,20.0,1001.0,267.0,10.0,43.0,4.0,0.0,32.0,0.0,2,11,3,1,0,0
