equip_id,n_rows,best_n_train,best_n_test,best_R2_train,best_CVRMSE,best_NMBE,best_alpha,best_l1_ratio,best_n_features,best_R2,best_period,R2_H1→H2 2025,R2_8mo→5mo,R2_Apr-Sep→Oct-Feb
05832167d378b1bb869086bd3e49423c87d6932591494dea94,400,170.0,127.0,0.3771,26.1,4.8,0.02223,0.1,11.0,-0.0402,Apr-Sep→Oct-Feb,-0.1885,-1.263,-0.0402
06df53341048dd2bad65dc046edf71cb920e33f009b8d78e89,400,180.0,184.0,0.6927,30.1,-6.6,1.526418,0.9,8.0,0.2996,H1→H2 2025,0.2996,0.0305,0.1922
0b719a57619285afe99c4fab3b29cbc64fae717f0f467fdd18,400,180.0,127.0,0.0,35.1,1.5,1000.0,0.1,0.0,-0.0019,Apr-Sep→Oct-Feb,-0.0121,-0.0132,-0.0019
0e19f704ebdc23040972dc144eed1c0f80c6d22ebef98fc87d,400,179.0,184.0,0.7517,23.3,-0.2,0.120679,0.5,10.0,0.1084,H1→H2 2025,0.1084,-0.0251,0.006
0e695d012b29168cd7fdfe28aedf2776369d445773524ef966,400,181.0,127.0,0.7744,12.9,-2.2,2.682696,0.9,11.0,0.5598,Apr-Sep→Oct-Feb,0.4387,-0.0857,0.5598
13ab5ddc8630d3658a15f6b77527a2455a730ecaba7973b9da,400,151.0,184.0,0.0575,13.3,-2.9,1.526418,0.3,13.0,-0.0549,H1→H2 2025,-0.0549,-0.1088,-0.2339
1a44048a681d6881f4186f4e432c21a03be5b7b5bdc3db27ba,400,,,,,,,,,,NONE,,,
1b15e1f76f9e2882e3fd52222bcb1ce4198e1d95ad65085733,400,176.0,184.0,0.3642,50.7,-26.0,2.682696,0.9,13.0,0.1937,H1→H2 2025,0.1937,0.0386,-0.8146
2237d7b1c20b2c95dc2679febf4d73a370f7200a18bd041982,400,225.0,157.0,0.0,70.8,-54.9,1000.0,0.1,0.0,-1.5095,8mo→5mo,-10.9215,-1.5095,-92.9171
27784fe788f0a5d5fb66e54c254b490001e8edb56d4c4d52d9,400,180.0,184.0,0.797,19.1,-4.7,0.655129,0.1,21.0,0.2008,H1→H2 2025,0.2008,0.1542,0.0126
2b66f775e45308dc958eb6a82f53a76e564b3db1849a1f2c39,400,241.0,157.0,0.3857,17.5,-7.7,0.159986,0.1,20.0,-0.1144,8mo→5mo,-0.39,-0.1144,-0.1189
2d67f0bebce5ffff0d58374d05489d5dd76545e8ad628a28d1,400,239.0,157.0,0.2831,64.4,-44.1,2.02359,0.7,14.0,0.0362,8mo→5mo,-11.6064,0.0362,-4.2376
2e3d534b57ea5b32bf9210434c9180cbf3495fbbdd85212ea4,400,237.0,157.0,0.0,32.3,0.6,1000.0,0.1,0.0,-0.0004,8mo→5mo,-0.0013,-0.0004,-0.0085
37e7971693e8f03d0a7379aa7b884b6091a985e480f40d9ae4,399,241.0,156.0,0.7981,12.0,4.8,0.001326,0.1,21.0,0.5362,8mo→5mo,-1.4374,0.5362,-1.3046
3a19a9aa476e0f3bb9bc788a77845d7f6159cc1cc276e378ab,398,,,,,,,,,,NONE,,,
3b40b94b91769395f0021f6eab861336758351c82a5b5d5d53,400,169.0,184.0,0.4705,63.0,-21.9,0.09103,0.1,21.0,-0.3101,H1→H2 2025,-0.3101,-0.5087,-1.9626
3bdec6d7197a91900ff81511c2b8e13be79497f618909dd99f,399,153.0,184.0,0.0006,18.9,1.5,0.00233,0.9,1.0,-0.0063,H1→H2 2025,-0.0063,-0.0115,-0.0143
3bf19bcf2cc40e8d7d36597db9146857cb30c921bb73947af6,398,,,,,,,,,,NONE,,,
3cc12eb2c3daa8f9a9535891ab317fd77e65450299c3a5e57d,400,173.0,127.0,0.6717,50.2,-14.4,0.159986,0.1,21.0,-0.3693,Apr-Sep→Oct-Feb,-0.5538,-0.5425,-0.3693
3efd2edbf82fb3b95c0b49a43e5efaa4a8718a110c53777575,400,180.0,184.0,0.6384,72.0,-59.9,1.526418,0.9,15.0,-1.2321,H1→H2 2025,-1.2321,-3.9711,-2.3639
3ffee8dc18f3d9b7e7eb1b192f81900842cd20fd75eee6cf67,399,236.0,156.0,0.1272,32.6,2.1,0.281177,0.9,7.0,0.0031,8mo→5mo,-0.0129,0.0031,-0.0032
40f4de4301f41d686c5d49305c2d68e62bab9bc5d05e5ccba4,400,179.0,184.0,0.5011,22.4,-12.3,0.655129,0.1,16.0,-0.473,H1→H2 2025,-0.473,-1.1131,-0.5036
41efd5577e0f03b3d37316faff74fbf22be47d413fac69d309,400,180.0,184.0,0.7153,25.5,-4.2,2.02359,0.9,10.0,0.1892,H1→H2 2025,0.1892,-0.0448,0.0617
422b2ef3dc94a8583fa29e604e660512cac92526d5b1081e75,400,181.0,184.0,0.6537,61.1,-49.6,0.372759,0.1,21.0,-0.313,H1→H2 2025,-0.313,-1.8757,-1.8299
42aa979c14d145eecfe58f94b9879357bb1ee208bd04c0156e,400,173.0,184.0,0.1914,18.8,1.0,0.120679,0.1,11.0,-0.0036,H1→H2 2025,-0.0036,-0.0037,-0.0117
48457b799fca6fde796392b134d47ad0c4232c69461276477d,399,153.0,184.0,0.0,4.4,0.1,0.007197,0.5,0.0,-0.0006,H1→H2 2025,-0.0006,-0.0328,-0.049
4bd1dcdcefad2d29c219f8aee18a09bf10c57a92586573dfaf,398,,,,,,,,,,NONE,,,
4dd658a877c4bd4a78f1cfd8cae0bf50ca9bdde8a20eb47fdd,400,183.0,157.0,0.0,39.9,24.5,1000.0,0.1,0.0,-0.605,8mo→5mo,-1.695,-0.605,-0.6534
5111d662ce8a37093e76fdda3973fda6c4aa1d09d9c7aae566,399,237.0,156.0,0.5374,120.8,-109.5,1.151395,0.9,14.0,-1.4106,8mo→5mo,-2.3223,-1.4106,-2.9958
