equip_id,n_rows,best_n_train,best_n_test,best_R2_train,best_CVRMSE,best_NMBE,best_alpha,best_l1_ratio,best_n_features,best_R2,best_period,R2_Annual Y2→Y3,R2_Semi H2→H1 2024,R2_AllHist→2024
Mr8FmI8GAEoiFFOpdvkud6ZinEZ1uiYaOg==,1569,357.0,365.0,0.3013,235.4,11.5,0.212095,0.9,6.0,-0.0034,Annual Y2→Y3,-0.0034,-1.0063,-0.5093
Mr8FmI8GAEoj9jCoujLV/nFLDHn15h8qUw==,1569,,,,,,,,,,NONE,,,
Mr8FmI8aAEognVogG/mqpvI37ocxcGIaQg==,1569,287.0,365.0,0.4632,206.9,65.8,0.212095,0.1,11.0,-0.1206,Annual Y2→Y3,-0.1206,-0.3214,-1.035
Mr8FmI8aAEohfzkh1zJRLyUefrixLFsqKw==,1569,359.0,365.0,0.6738,226.7,-4.6,0.120679,0.1,21.0,-0.012,Annual Y2→Y3,-0.012,-0.927,-0.153
Mr8FmI8aAEoim5wjgm5dtVxkzvgxyBB6kQ==,1569,183.0,182.0,0.5663,43.0,-20.6,0.051795,0.1,21.0,0.0353,Semi H2→H1 2024,0.0091,0.0353,-0.0573
Mr8FmI8aZVVY40cbPdMU9HYYIgNnpcjj,1569,253.0,291.0,0.0,inf,inf,0.281177,0.1,0.0,0.0,AllHist→2024,-0.112,,0.0
Mr8FmI8eCkog6YoGF/gb+a21nDpLNfcdhw==,1569,314.0,365.0,0.7027,371.3,22.1,0.494171,0.9,17.0,-0.0194,Annual Y2→Y3,-0.0194,-0.4233,-0.6567
Mr8FmI8eCkohC+kH2zPgcHqcDAXLac4t7g==,1569,358.0,365.0,0.4768,246.0,29.1,0.001,0.9,21.0,-0.011,Annual Y2→Y3,-0.011,-0.618,-0.3237
Mr8FmI8eCkoi70wFjm/s6gPmvEVLjYV9VA==,1569,1248.0,291.0,0.5972,44.7,9.2,0.051795,0.9,20.0,0.4549,AllHist→2024,0.0192,-0.1379,0.4549
Mr8FmI8eCkonAKMDcYv5RIhpbITKoViMmw==,1569,356.0,365.0,0.5852,230.5,17.6,0.001,0.9,21.0,-0.0201,Annual Y2→Y3,-0.0201,-0.0298,-1.6947
Mr8FmIsGAEohPxiMfwNiE95oyMdTVHupcA==,1569,179.0,182.0,0.6223,29.6,11.5,0.001,0.9,21.0,0.1068,Semi H2→H1 2024,-0.0,0.1068,0.0044
Mr8FmIsGAEoi272OKl9uiacSeIfTsDD5yg==,1569,178.0,182.0,0.3183,23.5,-0.0,0.159986,0.9,7.0,0.1491,Semi H2→H1 2024,-0.0152,0.1491,-0.0108
